movie_id,director,leads
FS20124075,정병길,정재영(최형구)|박시후(이두석)
FS20183361,브래드 버드,크레이그 T. 넬슨|사무엘 L. 잭슨|홀리 헌터
FS20124086,이승준,설경구(철수)|문소리(영희)|다니엘 헤니
FS20113887,신정원,김수로(박선생)|강예원(찬영)|이제훈(석현)
FS20174142,김현석,나문희|이제훈(민재)
FS20124039,김지훈,설경구(강영기 )|손예진(서윤희 )|김상경(이대호 )
FS20157464,김봉주,손현주|엄지원|배성우
FS20128447,올리비에 메가턴,리암 니슨|매기 그레이스|팜케 얀센
FS20154001,알레한드로 곤잘레스 이냐리투,레오나르도 디카프리오|톰 하디
FS20174602,이창재,노무현
FS20147669,브라이언 싱어,휴 잭맨|제임스 맥어보이|마이클 패스벤더
FS20149570,김석윤,김명민|오달수|이연희
FS20168261,팻티 젠킨스,갤 가돗|로빈 라이트|크리스 파인
FS20123383,장준환,여진구(화이)|김윤석(석태)|조진웅(기태)
FS20168183,조던 복트-로버츠,톰 히들스턴|브리 라슨|사무엘 L. 잭슨
FS20175054,웨스 볼,딜런 오브라이언|토마스 생스터|카야 스코델라리오
FS20180522,페이튼 리드,폴 러드|에반젤린 릴리|마이클 더글라스
FS20081056,크리스토퍼 놀란,크리스찬 베일(브루스 웨인/ 배트맨)|마이클 케인(알프레드)|히스 레저(조커)
FS20205041,저스틴 린,빈 디젤|존 시나|성 강
FS20149569,백운학,손현주|마동석|최다니엘(김진규)
FS20124399,정기훈,고수(강일)|한효주(미수)
FS20113972,존 추,이병헌(스톰 쉐도우)|브루스 윌리스(조 콜튼)|드웨인 존슨(로드블럭)
FS20166363,에드워드 즈윅,톰 크루즈|코비 스멀더스
FS20152963,데이비드 에이어,윌 스미스|자레드 레토|마고 로비
FS20129156,젠디 타타코브스키,아담 샌들러|스티브 부세미|프란 드레셔
FS20122784,정근섭,엄정화(하경)|김상경(청호)|송영창(한철)
FS20173694,딘 데블린,캐서린 윈닉|제라드 버틀러|짐 스터게스
FS20112134,피터 버그,리암 니슨(셰인)|테일러 키취(알렉스 하퍼)|알렉산더 스카스가드(스톤 하퍼)
FS20179205,김석윤,김명민|오달수|김지원(영월)
FS20192696,김창주,조우진(이성규)|이재인(이혜인)|진경(반영희)
FS20191951,케이트 쇼트랜드,스칼렛 요한슨|플로렌스 퓨|레이첼 와이즈
FS20197121,이종필,고아성|이솜|박혜수(심보람)
FS20041417,김현호,이선
FS20159058,앤드류 스탠튼,엘렌 드제너스|알버트 브룩스|다이안 키튼
FS20196939,안톤 후쿠아,덴젤 워싱턴|페드로 파스칼|빌 풀만
FS20149266,한준희,김혜수(엄마)|김고은(일영)
FS20210087,드니 빌뇌브,티모시 샬라메|레베카 퍼거슨|오스카 아이삭
FS20164501,팀 버튼,에바 그린|사무엘 L. 잭슨|에이사 버터필드
FS20155422,피터 손,
FS20211792,이정재,이정재(박평호)|정우성(김정도)|전혜진(방주경)
FS20139164,창,류승룡(여훈 )|유준상(송반장 )|이진욱(태준 )
FS20174981,김성훈,현빈|장동건
FS20139881,이연우,박보영(박영숙)|이종석(강종길)|이세영(최소희)
FS20124050,변영주,이선균(문호 )|김민희(선영)|조성하(종근 )
FS20113743,이석훈,황정민|엄정화(엄정화)
FS20184802,젠디 타타코브스키,아담 샌들러|셀레나 고메즈|앤디 샘버그
FS20204261,존 크래신스키,에밀리 블런트|킬리언 머피|노아 주프
FS20128687,정용기,정준호(박대서)|김민정(효정)|유동근(장인태)
FS20197846,이정범,이선균(조필호 역)|전소니|박해준(권태주)
FS20141111,진모영,조병만|강계열
FS20147790,조 루소,크리스 에반스|스칼렛 요한슨|사무엘 L. 잭슨
FS20090822,이성한,정우(짱구)|권재현(강석찬)|황정음(주희)
FS20161827,제임스 맨골드,휴 잭맨|패트릭 스튜어트|보이드 홀브룩
FS20112703,크리스토퍼 놀란,크리스찬 베일(브루스 웨인/배트맨)|게리 올드만(짐 고든)|앤 해서웨이(셀리나 카일)
FS20183813,박상현,신혜선(정인)|배종옥(화자)|허준호(추시장)
FS20148845,이병헌,김우빈(치호)|이준호(동우)|강하늘(경재)
FS20185985,김주호,조진웅(덕호)|손현주(한명회)|박희순(세조)
FS19920389,크리스 콜럼버스,맥컬리 컬킨|조 페시|다니엘 스턴
FS20124400,우민호,김명민(김 과장)|염정아(강 대리)|유해진(최 부장)
FS20208446,최동훈,류준열(무륵)|김우빈(가드/썬더)|김태리(이안)
FS20171122,스티븐 스필버그,마크 라이런스|사이먼 페그|올리비아 쿡
FS20185881,이한,정우성(순호)|김향기(지우)
FS20138544,프란시스 로렌스,제니퍼 로렌스(캣니스 에버딘)|조쉬 허처슨(피타 멜라크)|리암 헴스워스(게일 호손)
FS20090927,김대우,김주혁(방자)|류승범(이몽룡)|조여정(춘향)
FS20135221,저스틴 린,빈 디젤|드웨인 존슨|폴 워커
FS20170841,임순례,김태리(혜원)|류준열(재하 )|문소리
FS20100190,딘 데블로이스,제이 바루첼(히컵)|제라드 버틀러(스토이크)
FS20135001,댄 스캔론,빌리 크리스탈|존 굿맨|스티브 부세미
FS20135661,마크 웹,앤드류 가필드|엠마 스톤|제이미 폭스
FS20129388,리치 무어,존 C. 라일리|잭 맥브레이어|제인 린치
FS20120426,송해성,박해일(인모)|윤제문(한모)|공효진(미연)
FS20140425,데이빗 핀처,벤 애플렉|로자먼드 파이크|닐 패트릭 해리스
FS20142855,허종호,이선균|김고은(진선민)|임원희
FS20125427,마스이 소이치,야지마 아키코(노하라 신노스케(짱구))|나라하시 미키(노하라 미사에(짱구 엄마))|후지와라 케이지(노하라 히로시(짱구 아빠))
FS20127634,마크 앤드류스,켈리 맥도날드(메리다 공주)|빌리 코놀리(퍼거스 왕)|엠마 톰슨(엘리노 여왕)
FS20143253,채드 스타헬스키,키아누 리브스|로렌스 피쉬번|이안 맥쉐인
FS20225061,제임스 카메론,조 샐다나|샘 워싱턴|시고니 위버
FS20216492,일리야 나이슐러,봅 오덴커크
FS20148807,더그 라이만,톰 크루즈|에밀리 블런트|빌 팩스톤
FS20183584,존 터틀타웁,제이슨 스타뎀|리빙빙
FS20184047,조시 쿨리,톰 행크스|팀 알렌|애니 팟츠
FS20177539,장재현,이정재(박목사)|박정민(정나한)|이재인
FS20218256,클로이 자오,안젤리나 졸리(테나)|마동석(길가메시)|리처드 매든(이카리스)
FS20127401,폴 W.S. 앤더슨,밀라 요보비치(엘리스)|미셸 로드리게즈|리빙빙
FS20000069,존 라세터,톰 행크스(우디)|팀 알렌(버즈 보안관)|조앤 쿠삭(제시)
FS20137043,한동욱,황정민|한혜진|곽도원
FS20129368,윤종찬,한석규(나상진)|이제훈(이장호)
FS20088506,조근현,진구(곽진배)|한혜진(심미진)|임슬옹(권정혁)
FS20218391,톰 맥그라스,알렉 볼드윈|에이미 세다리스|제임스 마스던(팀 역)
FS20112534,황동혁,정유미(서유진)|공유
