영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,67753,548862660,1,6,2024-07
여행과 나날,2025-12-10,66520,635049141,1,2,2026-07
바람계곡의 나우시카,2000-12-30,65256,638536020,11,118,2026-02
"그 시절, 우리가 좋아했던 소녀",2012-08-22,64409,463103690,1,2,2024-12
극장판 바이올렛 에버가든,2020-11-12,64304,549414550,20,138,2024-08
마미,2014-12-18,63006,505584244,1,1,2026-05
타인의 삶,2007-03-22,62521,449804900,1,1,2026-07
이처럼 사소한 것들,2024-12-11,61405,580838760,4,8,2025-12
굿 윌 헌팅,1998-03-21,61163,504742000,90,1488,2026-03
10 라이브즈,2024-08-15,60606,441732800,1,1,2025-12
"가장 따뜻한 색, 블루",2014-01-16,60368,476081817,2,13,2024-08
해피 투게더,1998-08-22,60014,558894426,1,1,2026-05
아이 엠 러브,2011-01-20,59933,480407006,1,5,2025-08
이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,59654,493480400,1,5,2024-02
수면의 과학,2006-12-21,59202,420149200,1,10,2026-05
불의 전차,2016-06-16,59142,401511670,1,2,2024-07
슬픔의 삼각형,2023-05-17,58673,570845421,1,2,2026-04
훌라 걸스,2007-03-01,58219,402252460,37,415,2026-07
류이치 사카모토: 오퍼스,2023-12-27,57205,545778542,1,1,2026-04
더 웨일,2023-03-01,56647,557018366,1,4,2026-03
애스터로이드 시티,2023-06-28,56455,557843047,1,6,2024-04
대부,1973-09-01,56003,475685000,1,2,2025-12
꽃다발 같은 사랑을 했다,2021-07-14,55968,510431436,1,5,2026-03
벤허,1972-09-07,55752,316391312,1,2,2026-02
피아니스트의 전설,2020-01-01,55142,444594893,1,5,2026-02
초속5센티미터,2007-06-21,54057,348042299,12,137,2026-02
엔니오: 더 마에스트로,2023-07-05,54043,507757857,1,4,2025-12
매혹당한 사람들,2017-09-06,54041,412885500,1,1,2026-04
마야 3: 숲속 왕국의 위기,2023-08-24,53448,425588000,1,1,2025-07
어글리 돌,2019-05-01,52627,382777370,1,1,2026-06
화양연화 특별판,2025-12-31,52606,527503522,1,2,2026-07
정글번치: 월드투어,2024-01-31,52193,431379500,193,3443,2024-02
세상을 바꾼 변호인,2019-06-13,52075,407267170,1,1,2024-08
사랑할 땐 누구나 최악이 된다,2022-08-25,51426,520216967,1,4,2026-06
마브카 : 숲의 노래,2023-10-18,51220,432749154,2,2,2024-05
브루클린,2016-04-21,51106,412985600,1,1,2026-03
오지: 사라진 숲을 찾아서,2024-09-13,50986,396502975,1,1,2024-11
거울 속 외딴 성,2023-04-12,50772,489227269,1,1,2024-03
투게더,2025-09-03,50176,416224000,9,50,2025-10
헤드윅,2002-08-09,49999,398465965,1,2,2024-10
어네스트와 셀레스틴,2014-02-20,49823,335283100,1,1,2026-03
더 파더,2021-04-07,48688,408847000,1,1,2024-11
스즈메의 문단속: 다녀왔어,2024-01-10,48577,479767900,1,2,2024-06
매기스 플랜,2017-01-25,47862,383713800,1,4,2024-08
"스탠바이, 웬디",2018-05-30,47506,375385580,1,1,2024-05
타샤 튜더,2018-09-13,47290,375008250,1,4,2026-03
악은 존재하지 않는다,2024-03-27,47163,462380650,1,3,2025-09
무드 인디고,2014-12-11,47139,379171230,1,1,2024-12
프렌치 수프,2024-06-19,46965,436751495,1,2,2026-07
애프터 양,2022-06-01,46944,456442300,2,20,2026-05
심야식당 2,2017-06-08,46755,367038900,1,1,2025-06
도그맨,2024-01-24,46705,435005149,3,11,2024-03
로마의 휴일,2025-08-20,46620,307243900,50,462,2026-04
매트릭스,1999-05-15,46568,429550240,2,11,2025-01
파비안느에 관한 진실,2019-12-05,45495,303343700,1,3,2025-05
진짜로 일어날지도 몰라 기적,2011-12-22,45312,350991900,1,1,2025-10
신 에반게리온 극장판,2022-10-05,45216,510431497,1,22,2026-06
아일라,2018-06-21,45081,341143900,1,2,2026-07
꼬마 판다 팡의 아프리카 대모험,2025-01-22,44979,359615000,1,1,2026-04
걸어도 걸어도,2009-06-18,44611,348002600,1,5,2026-06
그저 사고였을 뿐,2025-10-01,44558,430074610,1,2,2026-05
롱레그스,2024-10-30,44495,395409400,4,9,2024-12
몽상가들,2005-03-25,43532,304945704,1,1,2026-07
내일을 위한 시간,2015-01-01,42966,344491900,1,1,2026-03
아네트,2021-10-27,42824,365217230,9,63,2024-11
이별의 아침에 약속의 꽃을 장식하자,2018-07-19,42578,349103200,1,1,2025-11
페라리,2025-01-08,42298,407348520,1,10,2025-04
더 와이프,2019-02-27,41653,320925451,1,2,2024-01
아무도 모른다,2005-04-01,41067,277451200,1,2,2026-06
톰과 제리: 황금나침반 대소동,2026-01-01,40908,347484520,7,20,2026-02
러브액츄얼리: 크리스마스 에디션,2013-12-18,40275,310479397,1,3,2024-01
하나 그리고 둘,2000-10-28,39930,398921795,1,1,2026-07
이사,2025-07-23,39779,397602000,1,3,2026-07
꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,39016,300877200,4,22,2024-07
"고흐, 영원의 문에서",2019-12-26,38854,316382730,1,1,2025-05
마스터,2013-07-11,38656,300579300,2,38,2026-05
티파니에서 아침을,,38298,220214800,54,591,2026-04
파더 마더 시스터 브라더,2025-12-31,37981,348605560,1,1,2026-06
대부 2,1978-04-20,37931,296950900,1,1,2025-12
스탑 메이킹 센스,2025-08-13,37571,436647381,1,3,2026-02
"미안해요, 리키",2019-12-19,37423,296779980,1,1,2025-12
덤 머니,2024-01-17,37262,346814109,2,7,2024-03
린다 린다 린다,2006-04-13,37217,363462900,1,2,2026-06
페니키안 스킴,2025-05-28,37172,350365850,1,2,2026-03
오직 사랑하는 이들만이 살아남는다,2014-01-09,37108,283522343,1,2,2026-01
