영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
라파엘로. 예술의 군주,2024-05-29,3811,30712439,2,14,2026-04
까미유 끌로델,2013-10-24,3789,27865000,1,3,2025-01
"오늘 하늘이 가장 좋아,라고 아직 말할 수 없는 나는",2025-11-26,3776,39300250,1,1,2026-02
빵과 포도주의 마르첼리노,1990-04-07,3750,9884000,1,3,2026-06
파리의 사생활,2026-07-15,3736,36963200,32,177,2026-07
남극의 쉐프,2010-02-11,3722,26734500,1,1,2024-06
황야의 역마차,,3708,7553000,1,6,2024-07
우리들의 낙원,,3704,8042000,1,16,2025-12
정욕,2024-05-29,3696,34677767,1,2,2024-08
모호크족의 북소리,,3695,8040000,1,6,2024-10
제7의 봉인,2012-05-10,3687,29214300,1,2,2026-04
흑인 오르페,,3669,7778000,1,1,2025-08
게리 쿠퍼의 재회,,3661,7731000,1,8,2024-05
배드 럭 뱅잉,2022-07-28,3661,36261000,1,1,2025-12
동경의 황혼,2024-10-09,3658,30678300,1,1,2026-07
래빗스쿨 2: 부활절 대소동,2024-03-27,3637,29794990,1,3,2025-05
선셋 대로,,3630,10024000,1,2,2025-12
위대한 유산,,3597,7873500,1,2,2026-01
사랑의 종이 울릴 때,,3592,7214000,1,6,2024-08
레드 룸스,2024-10-09,3579,35425100,1,2,2025-01
엣 더 벤치,2025-07-30,3561,33589400,1,6,2025-10
안젤름,2026-05-13,3533,34462900,1,8,2026-07
야성녀,,3513,7054000,1,16,2026-03
어둠속의 댄서,2001-02-24,3496,29459280,1,2,2025-09
십자포화,,3493,7245000,1,8,2026-07
회전목마,,3491,7258000,1,6,2026-06
차임,2026-03-04,3483,33522700,4,22,2026-04
너는 나를 불태워,2025-08-27,3468,33494900,3,26,2025-10
스카페이스,,3466,7638000,1,15,2024-09
야생의 순수,,3425,7372000,1,6,2025-05
버스정류장,,3416,7663500,1,6,2026-06
제3의 사나이,,3407,7727000,1,6,2026-01
분노의 강,,3376,8011000,1,6,2025-11
곤돌라,2025-04-23,3375,31528800,1,1,2025-08
비상착륙,,3366,7828000,1,4,2025-11
조이랜드,2023-12-13,3325,30506686,6,53,2024-01
모리의 정원,2020-03-26,3317,27777520,1,1,2025-04
프렌치 캉캉,,3306,9918000,1,6,2025-10
"알레고리, 잇츠 낫 미",2024-12-18,3300,32239400,2,6,2025-03
리틀 엘렌: 외계인과 안테나 대소동,2023-03-01,3284,30141894,1,3,2025-05
세인트 메리의 종,,3217,7399000,1,3,2026-07
청춘은 밤이 없다,,3212,6439000,1,12,2026-02
갓랜드,2024-02-28,3197,25878530,1,3,2026-04
여호,,3190,7244000,1,12,2026-05
가을이야기,,3185,27411600,1,1,2026-07
겨울 이야기,,3169,26804600,1,2,2026-07
그들은 피아노 연주자를 쐈다,2025-01-29,3162,29985900,1,1,2025-11
비정성시,1990-01-26,3126,25993300,1,1,2026-04
로빈 훗의 모험,,3119,6429000,1,6,2026-01
산딸기,2013-05-16,3099,14013700,1,8,2026-05
다잉,2025-12-10,3093,28008600,3,14,2026-01
드림 홈,2026-02-04,3080,25941900,34,244,2026-02
데드 맨,1998-05-23,3069,29919000,5,20,2026-01
바후발리 : 더 비기닝,2016-11-10,3068,25209500,1,1,2024-11
러브 라이프,2023-07-19,3065,26208670,1,5,2026-07
시티 라이트,1989-02-04,3060,21112500,1,15,2024-04
제프 맥페트리지: 드로잉 라이프,2025-08-13,3057,28394300,3,34,2025-09
지상의 밤,,3050,27807900,7,25,2026-01
히든,2006-03-30,3050,20755500,1,4,2024-12
잠자는 바보,2025-09-10,3043,32181780,1,3,2025-10
사무라이 타임슬리퍼,2026-06-24,3023,25044270,11,88,2026-07
아나스타샤,,2999,6605000,1,6,2025-12
카르멘 존스,,2982,6003000,1,12,2026-05
사냥꾼의 밤,,2976,8791000,1,10,2026-05
노 어더 랜드,2026-03-04,2968,26493800,1,1,2026-07
키스 미 데들리,,2953,6949000,1,6,2025-10
어두운 통로,,2941,6790000,1,12,2024-07
와일드 투어,2025-03-12,2932,25904100,1,2,2025-12
거대한 서부,1972-10-20,2925,6354500,1,6,2026-04
과거가 없는 남자,2005-10-14,2905,18396500,1,3,2026-04
여기는 아미코,2024-02-28,2893,25897330,5,16,2024-04
삶과 죽음의 문제,,2893,7729000,1,10,2025-01
가자 항해자여,,2853,6033000,1,5,2026-05
야간문,,2837,5869000,1,6,2025-10
아녜스 V에 의한 제인 B,2024-01-31,2833,24076900,1,1,2025-05
내 친구의 집은 어디인가,1996-08-17,2822,22585600,1,3,2026-03
언러브드,2006-05-24,2822,19045000,1,3,2024-12
나폴리의 황금,,2814,6201000,1,11,2024-05
어거스트 버진,2022-03-24,2814,23537600,1,2,2025-07
깁슨 가족 연대기,,2803,6014000,1,2,2025-04
지지,,2801,5292000,1,12,2025-04
몬도 가네,,2796,5526000,1,9,2024-04
신입기자 토롯코,2025-09-03,2752,23931500,5,19,2025-10
잃어버린 주말,,2742,5494000,1,9,2025-05
밝은 미래,2004-04-23,2709,15983000,1,1,2025-10
봄 이야기,,2689,23137000,1,2,2026-07
올파의 딸들,2025-04-02,2682,23160600,1,1,2026-04
테인티드 러브,2024-09-19,2664,21811100,2,6,2024-10
정염의 검사,,2659,5323000,1,6,2024-02
도어즈,1993-04-24,2658,27471560,1,1,2025-12
밤으로의 긴 여로,,2640,5250500,1,6,2025-04
복수는 나의것,2024-11-06,2636,25529300,1,1,2025-10
카라바조. 영혼과 피,2025-02-19,2634,21399960,1,1,2025-04
미스테리 트레인,,2630,24241700,8,34,2026-01
52헤르츠 고래들,2024-09-04,2619,25453700,2,16,2024-10
스텔라,2024-05-22,2610,22985460,14,86,2024-06
립반윙클의 신부: 스페셜 에디션,2016-10-13,2605,22545500,1,5,2025-08
퍼시픽션,2026-07-01,2570,25259450,23,228,2026-07
고스트라이트,2025-12-17,2552,23798450,1,1,2026-06
사토상과 사토상,2026-04-29,2552,24591850,25,269,2026-05
페르소나,2013-07-25,2543,20867000,1,1,2026-07
죽고 싶지만 사랑은 하고 싶어,2024-09-04,2489,24692000,1,2,2025-03
모든 것은 아르망에서 시작되었다,2024-12-25,2489,21888600,15,163,2025-01
거룩한 술꾼의 전설,2023-08-30,2480,20804200,1,1,2026-01
가방을 든 여인,,2465,6648000,1,6,2025-03
소녀는 졸업하지 않는다,2024-01-24,2460,21702299,1,1,2025-06
체리 향기,1998-01-01,2450,20876400,1,2,2026-07
알제리 전투,2009-10-15,2418,13155000,1,1,2025-05
산이 부른다,2024-09-25,2394,19139000,1,2,2025-07
죄의 목소리,2025-11-28,2391,19594260,18,84,2025-12
디피컬트,2024-05-15,2374,21805100,1,1,2024-07
정복되지 않는 사람들,,2364,4949000,1,9,2026-06
첫키스만 50번째,2020-03-26,2358,19422660,3,12,2024-04
모드 집에서의 하룻밤,,2357,22296400,1,4,2026-05
"X를 담아, 당신에게",2024-12-11,2319,21179300,1,1,2025-03
데스티네이션 도쿄,,2278,4566000,1,6,2025-05
아나이스 인 러브,2022-10-13,2277,19579800,2,6,2025-06
붉은 사막,2023-07-26,2272,16885255,1,2,2025-02
옆자리 괴물군,,2269,12932670,4,19,2024-11
후계자,2025-11-12,2245,20078100,1,2,2026-02
모든 것을 벗어던진 특별한 여행,2020-07-29,2235,18053660,1,3,2024-06
콘티넨탈 '25,2025-11-19,2235,19517800,1,3,2026-01
사랑의 전주곡,,2231,4478000,1,8,2025-05
수집가,,2228,20214200,1,3,2026-05
아침이 오면 공허해진다,2024-05-29,2220,20783034,1,1,2024-08
드림스,2026-03-18,2211,19461700,5,46,2026-04
엔조,2026-05-27,2200,20455700,1,1,2026-07
비행사의 아내,2024-05-15,2198,20919900,1,2,2026-06
"사랑, 우유, 그리고 치즈",2026-03-25,2189,18973950,1,1,2026-06
싱글 에이트,2024-10-09,2181,19452400,1,1,2025-05
탑 햇,,2169,4708000,1,4,2024-02
천국의 아이들,2001-03-16,2156,15344000,1,3,2025-08
로렌조의 밤,2005-08-19,2143,14819500,1,2,2025-06
스트레이트 스토리,2001-11-30,2140,18252356,4,12,2026-02
"뭉크. 사랑, 영혼 그리고 뱀파이어 여인",2024-08-28,2135,16149139,1,1,2024-11
메이크 어 걸,2025-09-10,2132,20895300,4,22,2025-10
전장의 피아니스트,2022-01-06,2106,18274400,1,1,2024-06
그녀가 좋아하는 것은,2023-07-19,2096,19598800,2,8,2024-03
해리의 소동,,2089,4429000,1,8,2025-12
송곳니,2012-01-05,2071,15307800,1,11,2024-04
동그라미,2025-10-01,2059,19905200,1,6,2025-11
귀여운 빌리,,2053,4288000,1,9,2024-06
나의 길을 가련다,,1992,3720000,1,4,2026-01
세 아내에게 온 편지,,1989,4769000,1,9,2026-07
다운 바이 로,,1967,17177600,9,27,2026-01
류이치 사카모토: 도쿄 멜로디,2026-04-15,1966,19360980,1,2,2026-07
열화청춘 리마스터링,2025-03-31,1932,19092300,51,413,2025-04
클레르의 무릎,,1930,18553000,1,4,2026-05
위대한 부재,2024-11-06,1907,18081500,1,2,2024-12
난 엄청 창의적인 휴머니스트 뱀파이어가 될 거야,2024-05-29,1901,17895556,1,1,2026-05
움베르토 에코. 세계의 도서관,2024-12-11,1885,15551100,1,1,2025-08
굿 포 낫씽,2026-01-14,1880,18165500,1,1,2026-04
네 멋대로 해라: 장 뤽 고다르,2020-03-19,1865,15130100,1,3,2026-01
로코와 그의 형제들,,1850,4720000,1,4,2024-02
견왕: 이누오,2022-12-08,1846,18476184,1,9,2024-01
만덜레이,2007-07-26,1840,15049200,1,1,2024-08
달걀 원정대,2026-04-29,1835,15709500,1,3,2026-07
피카소. 파리에서의 반란,2026-04-29,1831,11931500,2,11,2026-06
클림트와 쉴레. 에로스와 프시케,2025-09-30,1828,12858700,2,8,2025-11
서스페리아 1977,1977-09-15,1826,15407292,1,3,2024-02
타히티의 고갱. 잃어버린 낙원,2025-08-27,1823,13583400,2,5,2025-10
나만의 비밀,2026-01-21,1821,18140490,16,59,2026-02
아들들,2024-12-04,1820,16519300,1,1,2025-02
아이 엠 낫 유어 니그로,2018-02-08,1817,13445700,1,1,2024-09
영원한 휴가,,1810,16225500,8,24,2026-01
39 계단,,1798,3872000,1,9,2024-04
다함께 여름!,2021-10-07,1794,16134940,1,2,2025-07
두 세계 사이에서,2024-01-31,1779,15163027,1,1,2024-07
사랑은 사라지지 않는다,2025-02-26,1775,14940000,1,1,2025-04
조용한 이주,2024-03-20,1768,15631800,1,1,2024-08
킹콩,,1767,3878000,1,6,2025-12
엘리자벳과 나,2023-12-13,1766,16319144,1,1,2024-09
월터의 선택,,1763,3536000,1,4,2025-10
킬링,,1754,3586000,1,6,2024-05
미래의 범죄들,2024-07-17,1732,15391217,4,26,2024-08
시대혁명,2022-10-13,1730,16768900,1,1,2025-10
토토리! 우리 둘만의 여름,2021-05-19,1725,15246080,1,1,2025-06
무방비 도시,,1688,4830000,1,4,2026-06
비련의 공주 엘리자베스,,1675,3355000,1,6,2025-10
우나기,1999-05-01,1656,15591760,1,1,2025-06
미지의 여인에게서 온 편지,,1646,3441000,1,8,2025-12
대삼원 리마스터링,1996-05-04,1623,16602000,46,379,2025-04
잊을 수 없는 모정,,1616,3300000,1,5,2025-04
스카라무슈,1973-06-02,1597,3569000,1,3,2025-10
10년,2019-12-12,1580,14306700,1,3,2026-04
프레젠스,2026-02-04,1577,15550700,1,3,2026-03
아담과 이브,,1570,3150000,1,12,2024-10
마지막 야구 경기,2026-04-22,1559,14481000,2,16,2026-06
안드레아 세니에,2013-01-19,1556,35971000,1,1,2025-11
퀸 엘리자베스,2024-06-12,1547,11372839,4,24,2024-07
리브 원 데이,2026-06-24,1538,14625050,7,54,2026-07
이소룡-들,2024-06-19,1513,15920400,7,24,2024-07
연연풍진,,1498,10068500,1,2,2024-09
폭력 교실,,1492,3260000,1,6,2025-09
제너럴,,1492,14367000,1,4,2026-06
파티마의 기적,,1490,2990000,1,9,2026-05
닻을 올리고,,1484,3379000,1,8,2024-06
파라다이스 이즈 버닝,2024-12-18,1474,14872500,4,25,2025-01
당신이 떠난 후,,1449,3637000,1,4,2025-11
불안,2005-06-10,1438,9444000,1,2,2026-05
슬랙 베이: 바닷가 마을의 비밀,2018-04-05,1437,10598700,1,3,2025-01
"줄리엣, 네이키드",2024-09-25,1434,12146560,15,65,2024-10
티치아노. 색채의 제국,2024-09-25,1424,11139900,1,1,2024-12
대디오,2026-01-28,1419,13030300,40,169,2026-02
제프 쿤스. 그 은밀한 초상,2024-07-31,1404,10664700,1,1,2024-09
화이트 히트,,1404,3296000,1,4,2024-11
사스콰치 선셋,2025-07-02,1394,12491300,1,3,2025-08
왕립우주군-오네아미스의 날개,2007-10-18,1392,11585300,1,5,2025-03
베일리와 버드,2025-10-29,1365,12874450,17,157,2025-11
크레이지,2008-02-05,1364,8940000,1,4,2024-11
속초에서의 겨울,2025-11-26,1361,13158600,2,17,2026-01
바람이 우리를 데려다 주리라,2002-11-22,1354,9441000,1,2,2025-08
학이 난다,,1302,3397000,1,15,2025-06
전선의 우정,,1293,2537000,1,12,2026-06
히로시마 내사랑,2001-04-23,1288,7398000,1,2,2026-04
프리다. 삶이여 영원하라,2024-11-06,1269,9677600,3,21,2024-12
크레이지 호스,2012-04-19,1224,9199000,1,2,2026-06
러브 달바,2024-08-14,1187,10388339,5,14,2024-09
미시시피의 도박사,,1184,2383000,1,6,2026-02
나의 이름은 마리아,2025-11-26,1175,10270900,12,91,2025-12
모니카와의 여름,2013-07-04,1175,8605000,1,1,2026-04
황금마차,,1172,2659000,1,3,2024-01
산책하는 침략자,2018-08-16,1165,9270900,1,2,2025-12
"타르콥스키, 기도하는 영혼",2024-01-31,1141,9960762,1,3,2025-01
술타나의 꿈,2026-04-01,1136,10238600,2,17,2026-05
나의 속마음,,1131,2283000,1,5,2024-08
니캡,2025-06-18,1116,10648500,7,37,2025-07
베르메르: 위대한 전시회,2025-09-17,1115,10080400,1,1,2025-12
롤라,2019-08-22,1111,8533500,1,2,2026-04
호컴,2026-07-22,1110,9640000,6,7,2026-07
허셀프,2022-05-12,1103,8926600,1,1,2024-09
존 덴버 죽이기,2022-11-23,1101,8656000,1,1,2026-02
다운폴,2024-03-27,1089,10883578,1,3,2024-05
황혼의 빛,2006-12-14,1087,7371500,1,3,2026-04
달사람,2014-11-13,1078,8267000,1,3,2025-05
동백정원,2023-12-01,1070,8234500,4,7,2024-03
동년왕사,,1062,6680500,1,3,2026-05
2만 종의 벌,2023-12-27,1060,9951784,16,76,2024-01
보로미니와 베르니니. 완벽을 위한 도전,2024-12-04,1056,7579000,1,1,2025-03
군다,2022-07-14,1048,8997000,1,1,2024-08
리바이벌 69’,2024-12-04,1032,10111600,1,22,2025-08
맘마 로마,2025-08-20,996,8231400,4,35,2025-09
레이징 그레이스,2024-03-13,993,9159986,2,7,2024-04
내일,2018-04-05,978,6298000,1,3,2025-09
두 피아노를 위한 콘체르토,2026-01-28,978,8203300,21,106,2026-02
행복의 노란 손수건,2025-04-02,966,7369600,2,6,2025-05
장 미쉘 바스키아: 더 레이디언트 차일드,2020-12-09,957,8765600,1,1,2026-07
뮤리엘의 웨딩,1995-05-20,953,8100400,1,2,2025-02
레닌그라드 카우보이 미국에 가다,1996-05-18,938,6267500,1,3,2026-04
타타르인의 사막,2025-10-29,932,7578000,2,11,2025-12
바넬과 아다마,2024-10-02,912,8416920,23,196,2024-10
애정만세,1995-06-17,907,7487000,1,2,2025-05
사다코,2021-09-15,883,4798900,5,12,2024-07
국유장기,,875,8597000,3,7,2025-11
몽그렐스,2026-05-27,840,7816550,3,10,2026-07
쑤저우강,2024-10-09,838,9049700,1,3,2024-11
소녀가 소녀에게,2020-01-09,820,7882100,1,1,2024-06
어둠 속의 빛,2013-04-11,820,5331000,1,1,2024-10
초상화의 이면. 아카데미아 카라라의 보물들,2025-05-28,810,6035000,16,138,2025-06
로데오,2025-05-21,805,7141400,1,9,2025-07
일 부코,2024-01-24,788,6603445,1,3,2024-03
콜드 미트,2026-03-11,786,6962260,57,358,2026-03
리셋,2025-04-30,773,7162300,1,1,2026-06
머나먼 세상속으로,2014-07-31,770,4595000,1,3,2025-05
파편들의 집,2024-07-24,764,6639678,1,1,2025-12
성냥공장 소녀,2001-04-28,747,5087000,1,2,2026-04
키리에의 노래: 디렉터스 컷,2023-11-24,732,6353636,3,34,2024-05
화성특급,2025-04-02,716,6792900,1,3,2025-05
모래그릇,2026-04-02,701,6767020,1,1,2026-06
은판 위의 여인,2017-11-30,696,4903500,1,2,2025-12
페루지노. 영원한 르네상스,2026-03-04,691,4885500,2,10,2026-04
잔 뒤 바리,2024-04-03,687,6138030,18,127,2024-04
추억의 불야성,,682,1375000,1,8,2024-03
블러디 이스케이프: 지옥의 도주극,2024-07-25,680,6424917,4,9,2024-08
키시베 로한 루브르에 가다,2024-08-01,676,4939517,6,84,2024-08
뱀의 길,2026-07-22,628,5118500,3,6,2026-07
태양 아래(해설판),2016-07-14,622,4503000,1,1,2024-06
"그리고, 살아간다",2024-01-01,584,4792166,6,88,2024-01
범죄의 요소,2002-08-03,577,5685000,1,1,2024-08
킹 오브 뉴욕,2023-09-27,569,4440567,1,3,2024-03
"본인 출연, 제리",2024-11-13,564,5316800,1,2,2025-01
커밍 홈 어게인,2023-09-20,551,4917500,1,2,2024-06
리볼버 릴리,2024-03-21,546,4837469,2,4,2024-04
초대의 법칙,2023-05-11,529,5715000,1,3,2024-07
뉴클리어 나우,2023-12-06,515,5278039,1,1,2024-01
료마! 테니스의 왕자: 디사이드,2023-09-16,501,3963800,1,3,2024-10
"프란체스코, 신의 어릿광대",2025-09-17,491,3960300,1,2,2026-06
일로 일로,,483,4145700,11,53,2025-06
엠파이어,2025-08-20,461,4290200,2,11,2025-09
부재,2025-08-27,442,3795600,1,4,2025-10
태양을 향해 달려라,,430,860000,1,5,2024-03
떠돌이 개,,412,2863500,1,2,2024-08
봉신연의: 조가풍운,2024-01-24,409,3284317,2,8,2024-02
호랑이 소녀,2025-05-07,409,3899800,1,4,2025-06
잇츠 낫 미,,403,5289000,1,1,2024-12
미스터 노바디: 감독판,,401,2808000,1,3,2024-04
이사벨라 두크로트 언리미티드,2025-12-24,401,3307000,1,1,2026-02
라이브 플래쉬,1999-10-09,389,3121600,1,1,2025-09
3개의 얼굴들,2021-03-04,380,2723900,1,4,2025-08
나라야마 부시코,1999-10-30,373,2991000,1,7,2024-11
마더스 베이비,2025-12-11,360,1800000,5,18,2025-12
우주에서 가장 밝은 지붕,2022-03-17,357,1861039,5,28,2024-05
유코의 평형추,2024-05-01,356,2399139,1,1,2024-07
글로리아!,,344,3058000,1,2,2025-04
스퍼마게돈: 사정의 날,2025-10-23,318,3090400,1,1,2025-11
광음적고사,,317,3357900,1,1,2026-05
흔들리는 대지,,314,777000,1,2,2025-10
서바이벌 패밀리,2018-01-18,309,1618000,1,2,2025-07
버클리에서,,309,2136000,1,2,2026-06
조용한 리더,,289,2601000,1,1,2025-06
나이트 플라워,2026-01-08,274,2677600,16,100,2026-01
아카디안,2025-02-13,266,2403500,2,4,2025-03
보이 킬스 월드,2025-10-16,256,2442900,20,111,2025-10
위대한 환상,2026-06-10,254,1969300,4,12,2026-07
사우스사이드 위드 유,2018-09-06,253,1510000,1,2,2024-06
극장판 후르츠 바스켓: 프렐류드,2024-03-01,237,1729100,1,3,2024-04
호리아,2024-12-25,237,2217300,1,1,2025-09
한 번 뿐인 내 인생,,237,471000,1,2,2025-11
"피에르 보나르, 마르타 보나르",2025-11-28,230,1835500,1,2,2026-01
보통의 아이,,224,1120000,1,2,2025-10
신들의 분노,2022-01-20,222,1104000,1,1,2025-12
달의 차고 기움,2024-11-01,221,1606600,4,67,2024-11
나의 즐거운 일기,2001-11-05,220,1571300,1,2,2024-08
우드 잡!,,214,1640000,1,7,2025-06
8일 만에 죽은 괴수의 12일 이야기,2024-05-16,183,1211778,5,73,2024-05
굿바이 크루얼 월드,2024-07-16,183,1182200,1,1,2024-08
인 더 더스트,2019-10-04,180,1610000,1,1,2024-05
금발이 되고 싶어,2026-06-26,172,1144000,1,7,2026-07
정크 헤드,2024-09-01,170,1224000,1,1,2024-11
모두가 그녀를 사랑해,2026-02-11,170,1541900,7,70,2026-02
런 베이비 런,2025-09-04,168,1121000,5,13,2025-09
욕망의 모호한 대상,1999-03-27,167,1186000,1,2,2025-10
고딩감독,2014-12-18,167,1516000,1,1,2026-07
마이 스몰 랜드,2024-02-01,165,1104578,1,1,2024-07
서치: 데스게임,2024-01-18,160,960000,1,4,2024-02
타이거스 네스트: 호랑이의 보디가드,2024-05-16,160,1693500,5,20,2024-05
마이다스 맨: 전설의 시작,2025-09-24,160,1124000,5,7,2025-09
히즈,2024-01-10,158,1266000,5,9,2024-01
세 번째 부인,,158,1261000,1,1,2024-08
극장판 이치케이의 까마귀,2024-09-16,157,1106000,1,1,2024-10
나이트콜,2025-03-05,153,932000,5,28,2025-03
페이퍼 스파이더스,2023-05-18,151,1204326,1,2,2024-06
베어헌터,2024-03-28,148,888000,1,11,2024-04
지옥의 외인부대,2024-07-24,148,896000,1,7,2024-08
썬 오브 람세스,2024-02-07,145,1180600,1,5,2024-03
극장판 오드 택시 인 더 우즈,2024-02-16,143,965039,6,68,2024-02
닥터 코토 진료소,2024-10-16,137,913500,5,60,2024-10
베이비 어쌔신: 나이스 데이즈,2025-02-26,130,1124500,1,1,2025-04
성욕주의: 은밀한 밀회,2025-07-31,128,708000,1,2,2025-08
부르달락: 흡혈귀,2024-03-28,126,756000,2,7,2024-04
그레이트 칸,2024-05-23,122,732000,2,4,2024-06
유어 럭키 데이,2024-02-22,114,684000,2,4,2024-03
웨스턴 프론트: 서부전선,2023-12-21,108,648000,2,3,2024-01
사다코 디엑스,2024-07-01,108,751900,5,48,2024-07
서바이브,2025-01-23,104,624000,2,6,2025-02
트릭,2013-11-21,95,567000,1,2,2024-10
어떻게 해야 했을까?,2026-07-29,92,644000,1,1,2026-07
어처구니없는,2021-04-22,89,771500,1,3,2024-06
썬레이: 폴른 솔저,2025-05-15,88,528000,2,2,2025-06
하얀풍선,1999-06-19,88,386500,1,3,2025-08
2147,2025-02-27,84,504000,1,5,2025-03
거북의 등딱지는 갈비뼈,2024-06-01,82,489500,5,41,2024-06
공백,2024-03-16,80,565500,4,47,2024-03
섀도우 오브 파이어,2024-12-01,80,553000,5,42,2024-12
아토맨: 뉴 히어로,2025-11-20,78,468000,2,3,2025-12
도플갱어,2003-10-10,75,425000,1,3,2024-12
허 바디,2024-10-31,72,432000,2,4,2024-11
심패티 포 데블,2026-04-15,65,390000,2,2,2026-05
더치스: 복수의 화신,2026-03-05,60,360000,5,12,2026-03
내가 가진 것은 아무것도 없었다,,59,414300,1,2,2025-12
섹스중독 쉬운 여자,2026-07-03,43,253000,5,7,2026-07
리틀 블루,2024-06-27,35,86000,1,16,2024-07
서퍼,2026-07-09,35,210000,5,7,2026-07
라스트 서바이버,2023-12-14,34,80000,1,3,2024-01
컨트리 카바레,2023-11-30,28,187000,1,1,2024-01
21 파라다이스,2024-08-08,28,156000,5,7,2024-08
원 퍼센터,2024-08-23,28,164000,2,2,2024-09
오시리스,2026-04-23,25,150000,5,5,2026-04
잠금: 셧다운,2026-07-15,25,150000,5,5,2026-07
파이브 데이즈,2025-09-30,24,144000,4,4,2025-09
사탄의 부름,2025-12-24,24,94000,5,12,2025-12
시스터즈,2026-01-28,17,92000,5,5,2026-01
서브멀전스,,13,73000,5,6,2026-04
레이턴시,2025-07-24,11,73000,4,4,2025-07
일대무사,2025-08-28,11,66000,1,1,2025-09
깃털 달린 괴물,,9,72000,1,2,2026-05
데드 포 어 달러,2025-09-18,5,49000,2,4,2025-09
세틀러스,2024-05-15,1,1000,1,1,2024-05
