순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
110,돌핀,2024-03-13,12세이상관람가,드라마,배두리,(주)마노엔터테인먼트,Y,67,67,4239,1762,4753,6272,1.48,41.6,,,,,확정,791,488,406,942,414,308,890,57,192,24,28,19,169,25,11
111,그녀가 돌아온 날,2026-05-06,15세이상관람가,드라마,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",Y,60,60,2781,1198,4190,6154,2.21,43.1,,,,,확정,725,364,309,473,416,263,231,185,221,189,221,226,170,197,83
112,세하별,2025-06-25,15세이상관람가,"가족,드라마",김우석,(주)트리플픽쳐스,Y,53,53,5038,1908,5282,6150,1.22,37.9,,,,,확정,1132,1089,1104,398,406,247,662,10,15,134,17,32,18,18,0
113,그림자 아이,2026-07-01,15세이상관람가,"미스터리,판타지,스릴러",유은정,주식회사 썬더필름,Y,126,126,4769,1831,5224,6145,1.29,38.4,,,,,,1355,1041,589,637,605,197,345,78,41,52,52,116,46,70,6
114,그 자연이 네게 뭐라고 하니,2025-05-14,15세이상관람가,드라마,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",Y,52,52,3154,1302,4368,6087,1.93,41.3,,,,,확정,729,419,384,463,455,263,441,160,131,153,242,237,164,127,101
115,열여덟 청춘,2026-03-25,12세이상관람가,드라마,어일선,(주)영화사 안다미로,Y,109,109,4078,2274,4712,6066,1.49,55.8,,,,,확정,959,266,653,1075,546,194,385,137,327,48,44,27,10,41,3
116,K스쿨,2024-02-21,전체관람가,"드라마,뮤지컬",박미경,주식회사 강컨텐츠,Y,19,19,352,96,352,5990,17.02,27.3,,,,,확정,150,64,28,31,37,8,34,0,0,0,0,0,0,0,0
117,수연의 선율,2025-08-06,12세이상관람가,"가족,미스터리,스릴러",최종룡,(주)싸이더스,Y,40,40,3721,1535,4277,5969,1.6,41.3,,,,,확정,724,461,527,590,418,378,623,58,71,101,118,87,58,63,13
118,극장의 시간들,2026-03-18,전체관람가,드라마,"이종필,윤가은,장건재",(주)티캐스트,Y,69,72,2510,1196,3551,5945,2.37,47.6,,,,,확정,623,314,436,347,413,174,203,161,177,107,207,170,102,117,63
119,힘을 낼 시간,2024-12-18,12세이상관람가,드라마,남궁선,(주)엣나인필름,Y,59,60,2260,980,3258,5914,2.62,43.4,,,,,확정,652,293,373,285,322,177,158,104,111,187,145,226,136,89,57
120,승리의 시작,2025-06-19,12세이상관람가,다큐멘터리,권순도,퓨어웨이픽쳐스,Y,31,35,2190,1097,3009,5864,2.68,50.1,,,,,확정,299,314,517,266,363,259,172,184,79,65,216,73,46,156,217
121,홍이,2025-09-24,12세이상관람가,드라마,황슬기,에무 시네마 앤 카페,Y,35,35,3459,1498,3864,5807,1.68,43.3,,,,,확정,557,626,435,481,582,179,599,70,123,38,36,48,37,53,28
122,우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,2024-10-16,15세이상관람가,드라마,한제이,(주)메리크리스마스,Y,87,87,2458,1213,3297,5795,2.36,49.3,,,,,확정,458,286,260,512,441,202,299,51,102,104,144,283,66,89,67
123,비밀일 수밖에,2025-09-10,12세이상관람가,"드라마,코미디",김대환,"주식회사 슈아픽처스,(주)에이디사공육",Y,78,78,2760,1459,3460,5778,2.09,52.9,,,,,확정,560,332,399,474,586,183,226,139,122,145,92,85,53,64,13
124,문경,2024-08-28,12세이상관람가,드라마,신동일,트윈플러스파트너스(주),Y,51,63,2256,1047,3027,5549,2.46,46.4,,,,,확정,430,339,234,443,370,194,246,101,72,199,148,101,68,82,72
125,한 채,2024-11-20,12세이상관람가,드라마,"정범,허장",영화배급협동조합 씨네소파,Y,30,30,3602,1703,3929,5540,1.54,47.3,,,,,확정,701,452,429,633,641,228,518,31,36,101,30,41,19,69,6
126,딜리버리,2024-11-20,15세이상관람가,"드라마,가족,코미디",장민준,(주)마노엔터테인먼트,Y,23,28,3486,1352,4214,5514,1.58,38.8,,,,,확정,515,442,428,512,412,404,773,403,136,118,12,26,10,23,2
127,김~치!,2026-03-25,12세이상관람가,"가족,드라마",박철현,영화로운 형제,Y,45,49,3368,1367,3570,5413,1.61,40.6,,,,,확정,666,603,417,490,460,198,534,116,12,8,4,8,41,13,42
128,폭설,2024-10-23,15세이상관람가,드라마,윤수익,판씨네마(주),Y,111,113,3058,1547,3943,5361,1.75,50.6,,,,,확정,553,383,424,589,534,270,305,171,90,176,101,163,63,121,46
129,고당도,2025-12-10,15세이상관람가,"드라마,범죄",권용재,(주)트리플픽쳐스,Y,67,67,2531,966,3789,5342,2.11,38.2,,,,,확정,707,300,400,211,355,379,179,105,154,449,141,133,93,183,25
130,여름의 카메라,2026-06-24,전체관람가,"가족,드라마,멜로/로맨스",성스러운,(주)싸이더스,Y,32,37,1989,677,3084,5297,2.66,34.0,,,,,,424,315,136,272,269,257,316,145,122,358,159,100,82,129,79
131,보이 인 더 풀,2025-05-14,12세이상관람가,"드라마,멜로/로맨스",류연수,(주)트리플픽쳐스,Y,52,52,2256,1244,3224,5241,2.32,55.1,,,,,확정,601,164,201,680,363,108,139,139,37,68,543,69,49,63,19
132,파란,2025-04-09,15세이상관람가,"미스터리,드라마",강동인,"(주)메리크리스마스,(주)삼백상회",Y,123,125,3909,2257,4104,5088,1.3,57.7,,,,,확정,886,327,274,451,1532,225,214,10,74,35,19,24,18,15,54
133,공작새,2024-10-23,15세이상관람가,드라마,변성빈,(주)영화사 그램,Y,33,33,1070,313,3793,5066,4.73,29.3,,,,,확정,117,167,70,139,104,73,400,345,259,616,648,724,56,75,7
134,카브리올레,2024-06-19,15세이상관람가,드라마,조광진,메가박스중앙(주) 플러스엠 엔터테인먼트,Y,178,180,3675,1521,4617,5031,1.37,41.4,,,,,확정,828,626,648,418,455,233,467,172,138,191,90,132,200,19,7
135,파과: 인터내셔널 컷,2025-12-10,청소년관람불가,"액션,드라마,미스터리",민규동,(주)넥스트엔터테인먼트월드(NEW),Y,130,130,3523,1496,3736,4985,1.41,42.5,,,,,확정,735,491,487,572,437,386,415,12,23,46,40,39,20,33,247
136,빨간 나라를 보았니,2026-04-15,12세이상관람가,다큐멘터리,홍영아,(주)트리플픽쳐스,Y,31,33,1566,666,2184,4805,3.07,42.5,,,,,확정,391,339,211,216,239,93,77,34,83,166,34,115,73,113,86
137,해야 할 일,2024-09-25,12세이상관람가,드라마,박홍준,재단법인 명필름문화재단,Y,46,64,1703,876,2522,4763,2.8,51.4,,,,,확정,356,115,150,386,340,189,167,173,112,83,67,60,264,60,53
138,판결,2026-02-25,15세이상관람가,"드라마,스릴러",이창희,"(주)제이앤씨미디어그룹,영화사빅",Y,41,41,599,273,697,4748,7.93,45.6,,,,,확정,107,83,57,108,108,92,44,16,12,10,29,14,3,14,1
139,여름이 끝날 무렵의 라트라비아타,2024-09-11,전체관람가,"드라마,멜로/로맨스",윤석호,(주)트리플픽쳐스,Y,38,38,3662,1260,3990,4728,1.29,34.4,,,,,확정,812,468,344,484,432,369,753,90,49,31,69,38,14,37,5
140,맨홀,2025-11-19,15세이상관람가,드라마,한지수,(주)마노엔터테인먼트,Y,30,30,3031,1263,3272,4643,1.53,41.7,,,,,확정,547,375,400,553,310,206,640,8,26,18,18,99,17,55,0
141,경성유랑극단,2025-10-24,12세이상관람가,"드라마,뮤지컬,전쟁",박진용,주식회사 씨엠닉스,Y,20,22,3136,2153,3965,4629,1.48,68.7,,,,,확정,703,749,701,476,391,51,65,29,157,185,13,152,159,134,1
142,정순,2024-04-17,15세이상관람가,드라마,정지혜,(주)더쿱디스트리뷰션,Y,44,44,1507,819,2226,4598,3.05,54.3,,,,,확정,203,157,248,260,311,156,172,147,101,57,140,115,54,105,95
143,귤레귤레,2025-06-11,15세이상관람가,"드라마,멜로/로맨스",고봉수,㈜인디스토리,Y,32,32,1414,685,2358,4428,3.13,48.4,,,,,확정,273,178,153,267,265,138,140,221,94,62,222,179,76,90,69
144,다섯 번째 방,2024-06-05,12세이상관람가,다큐멘터리,전찬영,영화배급협동조합 씨네소파,Y,34,34,3157,1147,3398,4345,1.38,36.3,,,,,확정,710,487,423,398,326,156,657,30,19,32,84,21,25,30,14
145,문워크,2025-01-22,15세이상관람가,드라마,신현규,필름다빈,Y,40,41,3615,1267,3700,4316,1.19,35.0,,,,,확정,1152,374,370,544,353,222,600,12,23,7,12,13,5,13,8
146,검은 소년,2024-02-07,15세이상관람가,드라마,서정원,(주)트리플픽쳐스,Y,29,31,3065,970,3473,4293,1.4,31.6,,,,,확정,603,531,376,320,274,344,617,15,16,20,216,17,21,103,8
147,허들,2025-12-03,15세이상관람가,드라마,한상욱,주식회사 로아앤코홀딩스,Y,21,24,1446,592,2346,4258,2.94,40.9,,,,,확정,66,54,230,270,92,626,108,57,97,265,23,35,217,206,192
148,더 납작 엎드릴게요,2024-07-10,전체관람가,드라마,김은영,(주)마노엔터테인먼트,Y,28,31,1144,588,1889,4145,3.62,51.4,,,,,확정,160,132,153,227,208,125,139,93,76,140,122,185,41,88,30
149,고백하지마,2025-12-17,12세이상관람가,드라마,류현경,류네,Y,23,27,796,437,1571,4067,5.11,54.9,,,,,확정,117,60,176,136,125,78,104,140,109,83,153,146,50,94,19
150,준스톤 이어원,2025-03-06,12세이상관람가,다큐멘터리,,주식회사 블루필름웍스,Y,12,19,2367,1150,2607,4067,1.72,48.6,,,,,확정,981,279,514,357,93,72,71,38,65,35,46,19,35,2,54
151,통잠,2025-11-19,15세이상관람가,"가족,드라마","김솔해,이도진",필름다빈,Y,25,29,3099,1611,3230,3931,1.27,52.0,,,,,확정,469,473,740,496,375,138,408,18,23,25,24,18,16,7,4
152,"럭키, 아파트",2024-10-30,15세이상관람가,드라마,강유가람,㈜인디스토리,Y,37,40,1412,684,1920,3811,2.7,48.4,,,,,확정,260,257,146,340,198,84,127,44,60,158,83,107,20,36,34
153,은하수,2024-04-10,12세이상관람가,드라마,최정한,(주)영화특별시에스엠씨,Y,49,49,1283,363,2178,3738,2.91,28.3,,,,,확정,568,175,97,131,135,110,67,207,14,9,344,283,19,19,4
