영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
런닝맨: 라이트&쉐도우,2026-04-11,17771,152854150,7,42,2026-05
첫여름,,17360,55628400,1,6,2026-07
김군,2019-05-23,16912,124724490,1,2,2026-05
박정희: 경제대국을 꿈꾼 남자,2024-07-10,16099,139435038,5,15,2024-09
십개월의 미래,2021-10-14,15630,111270180,1,3,2026-05
수카바티: 극락축구단,2024-07-31,15019,138804117,1,1,2025-07
지옥만세,2023-08-16,14783,124415759,1,1,2024-09
하나 코리아,2026-07-08,14617,136791700,170,1700,2026-07
"귀향, 끝나지 않은 이야기",2017-09-14,14595,106520200,1,1,2025-11
버티고,2019-10-16,14422,122034140,1,2,2024-05
소나기,2017-08-31,14402,83601808,1,1,2025-11
하와이 연가,2024-10-30,14252,142706500,1,1,2026-07
1980 사북,2025-10-29,14229,114275300,1,4,2026-07
범죄소년,2012-11-22,14211,94695800,1,4,2026-04
나는보리,2020-05-21,14210,106281160,1,1,2026-07
오마주,2022-05-26,13793,104231000,1,1,2024-10
"침몰 10년, 제로썸",2024-11-21,13582,131892200,2,2,2025-08
보이,2026-01-14,13360,112511720,2,9,2026-03
공포특급,2025-04-02,13238,111196400,166,1795,2025-04
괴인,2023-11-08,13130,105083852,1,1,2025-11
더 킬러스,2024-10-23,13046,101189100,1,2,2025-10
막걸리가 알려줄거야,2024-02-28,13031,119022310,1,1,2026-07
봄날은 간다,2001-09-28,12985,83132000,1,9,2026-03
목화솜 피는 날,2024-05-22,12860,123121147,1,1,2025-05
혼자 사는 사람들,2021-05-19,12839,114554060,1,1,2025-04
성덕,2022-09-28,12743,111137892,1,2,2024-08
1923 간토대학살,2024-08-15,12734,122911055,4,26,2024-10
불도저에 탄 소녀,2022-04-07,12719,106385240,1,2,2025-03
극장판 고래와 나,2024-10-30,12543,96185260,1,1,2025-12
드림팰리스,2023-05-31,12519,89426704,1,1,2025-07
만남의 집,2025-10-15,12506,103492600,1,1,2026-03
세기말의 사랑,2024-01-24,12257,101754958,1,1,2025-11
순례자들은 왜 돌아오지 않는가,2026-06-03,12230,91445250,10,86,2026-07
내 손끝에 너의 온도가 닿을 때,2024-05-15,12025,195389000,1,1,2026-05
현기증,2014-11-06,11814,79723300,1,1,2024-11
성춘향,1961-01-28,11789,25000000,1,2,2026-05
최선의 삶,2021-09-01,11749,101300980,1,3,2025-09
녹턴,2022-08-18,11742,83034100,1,1,2025-10
마부,,11643,23511500,1,1,2026-06
만분의 일초,2023-11-15,11583,88028606,1,8,2024-01
미싱타는 여자들,2022-01-20,11556,91745819,1,1,2025-11
모어,2022-06-23,11459,97164900,1,1,2026-06
하녀,1960-11-03,11379,48371700,1,4,2026-06
북극의 눈물,2009-10-15,11288,75942500,1,1,2025-12
극장판 프리즘스톤 올스타 셀렉션,2016-07-07,11287,98219500,2,5,2026-01
정말 먼 곳,2021-03-18,11195,88001350,1,1,2024-11
아침바다 갈매기는,2024-11-27,11195,98101100,1,1,2026-05
판문점,2024-06-19,11177,99057299,1,1,2025-08
춘천대첩 72시간,2024-11-13,11169,89221630,1,1,2025-04
살아남은 아이,2018-08-30,11117,91863800,1,1,2025-06
여름이 지나가면,2025-07-09,11067,101282000,1,3,2026-07
미망,2024-11-20,10911,99064260,1,1,2025-11
소설가의 영화,2022-04-21,10851,98981570,1,2,2026-02
5.18 힌츠페터 스토리,2018-05-17,10849,74161600,1,1,2025-11
목소리들,2025-04-02,10799,99360300,1,1,2026-04
나비잠,2018-09-06,10792,92136950,1,1,2025-12
세상 참 예쁜 오드리,2024-10-24,10699,98139320,1,2,2025-11
바로 지금 여기,2025-09-17,10597,90738500,1,2,2025-12
시인 할매,2019-02-05,10435,78637900,1,28,2025-03
박하사탕,2000-01-01,10382,92724000,1,11,2026-03
나의 피투성이 연인,2023-11-15,10340,82181347,1,1,2024-09
너와 나의 5분,2025-11-05,10287,74717000,7,46,2025-12
두 사람을 위한 식탁,2023-10-25,10162,76023656,1,1,2024-09
69세,2020-08-20,10101,81457190,1,1,2024-11
이반리 장만옥,2026-06-10,9925,93916700,12,151,2026-07
그 여름,2023-06-07,9869,92122447,1,1,2024-11
바람이 전하는 말,2025-11-05,9834,89034800,2,9,2026-07
호조,2025-03-12,9670,82418200,1,3,2025-10
자유부인 '81,1981-06-13,9580,22581000,1,12,2024-08
클레어의 카메라,2018-04-25,9575,76673300,4,21,2024-05
그대 어이가리,2023-03-08,9523,75669394,1,1,2026-03
경아의 딸,2022-06-16,9448,66351100,1,1,2025-10
그림자꽃,2021-10-27,9431,71104170,1,1,2025-08
마지막 숙제,2025-09-03,9320,81241100,1,1,2026-07
수프와 이데올로기,2022-10-20,9168,83224050,2,2,2024-08
봄밤,2025-07-09,9119,78472900,1,2,2025-12
아워 바디,2019-09-26,9081,75104487,1,1,2026-03
물방울을 그리는 남자,2022-09-28,9078,81575000,1,5,2026-04
애프터 미투,2022-10-06,9048,64658698,1,1,2024-11
빨간 마후라,,8961,18429000,1,3,2024-01
빅슬립,2023-11-22,8929,65977597,1,1,2025-06
여행자의 필요,2024-04-24,8723,78925032,1,1,2025-12
비밀의 정원,2021-04-08,8721,69450190,1,1,2025-11
