날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-07,9,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"1,482",-122 (-7.6%),"43,144","15,022,200",1.2%,"-1,357,200 (-8.3%)","395,182,900",126,366,"46,705",3.2%,2.6%
2026-07-07,10,극장판 암살교실 모두의 시간,2026-07-01,"1,344",31 (2.4%),"19,877","14,370,000",1.2%,"314,950 (2.2%)","211,420,650",124,171,"21,137",6.4%,1.2%
2026-07-07,1,눈동자,2026-06-24,"44,464",814 (1.9%),"930,810","443,146,330",36.0%,"3,897,370 (0.9%)","9,426,478,020","1,002","3,536","450,971",9.9%,25.4%
2026-07-07,4,마티 슈프림,2026-07-01,"5,542",36 (0.7%),"81,311","56,279,800",4.6%,"-754,910 (-1.3%)","853,694,860",562,"1,025",,,
2026-07-07,7,백룸,2026-05-27,"2,736",-41 (-1.5%),"1,197,602","29,173,800",2.4%,"-327,500 (-1.1%)","12,778,593,610",229,314,,,
2026-07-07,5,와일드 씽,2026-06-03,"4,631",-175 (-3.6%),"1,313,052","43,375,100",3.5%,"-1,543,650 (-3.4%)","12,699,261,240",501,821,"93,015",5.0%,5.2%
2026-07-07,8,짝사랑 세계,2026-06-24,"1,671",951 (132.1%),"23,203","11,382,000",0.9%,"5,552,600 (95.3%)","183,745,680",109,153,,,
2026-07-07,2,토이 스토리 5,2026-06-17,"33,386","2,435 (7.9%)","2,282,833","333,115,730",27.1%,"22,190,580 (7.1%)","23,404,637,620","1,026","3,360","524,654",6.4%,29.5%
2026-07-08,4,군체,2026-05-21,"8,623",-747 (-8.0%),"5,869,936","83,837,500",4.5%,"-12,694,200 (-13.2%)","61,776,566,540",524,889,"99,719",8.7%,5.1%
2026-07-08,2,눈동자,2026-06-24,"50,516","6,052 (13.6%)","981,322","474,018,840",25.6%,"30,872,510 (7.0%)","9,900,454,360",982,"3,538","440,023",11.5%,22.6%
2026-07-08,6,마티 슈프림,2026-07-01,"3,757","-1,785 (-32.2%)","85,068","36,736,850",2.0%,"-19,542,950 (-34.7%)","890,431,710",200,239,,,
2026-07-08,1,모아나,2026-07-08,"66,806","66,182 (10,606.1%)","67,430","666,597,450",36.0%,"655,989,450 (6,183.9%)","677,205,450","1,374","5,246","808,863",8.3%,41.6%
2026-07-08,8,백룸,2026-05-27,"1,963",-773 (-28.3%),"1,199,563","19,573,500",1.1%,"-9,600,300 (-32.9%)","12,798,139,110",108,145,,,
2026-07-08,10,시크릿 에이전트,2026-07-08,"1,742","1,742 (100.0%)","2,779","16,242,150",0.9%,"16,242,150 (100.0%)","27,253,420",83,93,,,
2026-07-08,5,와일드 씽,2026-06-03,"4,218",-413 (-8.9%),"1,317,270","35,945,850",1.9%,"-7,429,250 (-17.1%)","12,735,207,090",332,480,"50,951",8.3%,2.6%
2026-07-08,9,키퍼,2026-07-08,"1,948","1,948 (100.0%)","1,948","13,428,900",0.7%,"13,428,900 (100.0%)","13,428,900",119,194,,,
2026-07-08,3,토이 스토리 5,2026-06-17,"34,349",963 (2.9%),"2,317,174","317,583,550",17.1%,"-15,532,180 (-4.7%)","23,722,105,170",756,"2,284","287,994",11.9%,14.8%
2026-07-08,7,하나 코리아,2026-07-08,"2,500","2,500 (100.0%)","4,129","21,131,850",1.1%,"21,131,850 (100.0%)","39,891,750",170,228,,,
2026-07-09,4,군체,2026-05-21,"7,381","-1,241 (-14.4%)","5,877,314","77,814,590",5.3%,"-6,009,910 (-7.2%)","61,854,338,130",530,895,"98,120",7.5%,5.2%
2026-07-09,6,그린랜드 2: 마이그레이션,2026-07-01,"3,012","1,509 (100.4%)","45,715","26,526,200",1.8%,"12,003,800 (82.7%)","433,810,750",154,200,"23,731",12.7%,1.2%
