순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
406,라리랑,2025-10-29,12세이상관람가,"가족,코미디,드라마",나선희,(주)누리픽쳐스,Y,26,26,467,202,885,2513,5.38,43.3,,,,,확정,96,61,82,60,60,61,47,93,0,6,7,0,305,7,0
407,대한민국은 국민이 합니다,2026-01-22,12세이상관람가,다큐멘터리,조은성,와이드 릴리즈(주),Y,34,60,673,399,750,2513,3.73,59.3,,,,,확정,67,57,181,161,94,90,23,20,2,5,48,0,2,0,0
408,양치기,2024-06-12,15세이상관람가,"드라마,스릴러",손경원,(주)마노엔터테인먼트,Y,24,24,662,394,1018,2418,3.65,59.5,,,,,확정,99,59,59,140,195,46,64,50,7,200,7,48,22,22,0
409,가족의 비밀,2025-09-10,12세이상관람가,"드라마,코미디",이상훈,(주)스튜디오디에이치엘,Y,31,31,507,151,1637,2404,4.74,29.8,,,,,확정,167,54,38,53,60,42,93,8,10,84,4,16,0,1008,3
410,프랑켄슈타인 아버지,2025-04-02,12세이상관람가,드라마,최재영,스튜디오 에이드,Y,23,32,372,132,585,2380,6.4,35.5,,,,,확정,90,52,30,72,30,54,44,13,46,31,39,35,22,27,2
411,위험사회,2025-12-24,15세이상관람가,"드라마,멜로/로맨스,범죄",김병준,할머니가 들려주는 이야기,Y,17,17,2297,771,2326,2353,1.02,33.6,,,,,확정,650,229,374,229,168,246,401,5,6,4,2,2,4,6,3
412,김범수 25주년 콘서트 필름 : 여행,2024-12-11,전체관람가,공연,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",,44,44,1043,625,1755,2269,2.18,59.9,,,,,확정,217,118,140,355,130,35,48,26,346,23,152,56,93,16,37
413,피로 지켜낸 대한민국,2025-10-16,15세이상관람가,다큐멘터리,"금기백,애진아",주식회사 킨스튜디오,,19,20,462,230,638,2269,4.91,49.8,,,,,확정,60,74,105,51,47,107,18,97,3,1,69,5,0,1,74
414,전장의 유산,2025-05-21,12세이상관람가,다큐멘터리,김채영,컬츠인큐티에프,,14,16,1828,586,2136,2263,1.24,32.1,,,,,확정,482,442,304,163,119,175,143,20,41,96,31,41,35,44,10
415,반칙왕 몽키,2026-05-20,전체관람가,다큐멘터리,"황다은,박홍열",(주)스튜디오그레인풀,Y,28,28,725,307,1214,2259,3.12,42.3,,,,,확정,154,75,53,110,144,89,100,97,53,157,28,39,20,95,22
