영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
절해고도,2023-09-27,한국,한국,보리와 오디 영화사,"아이 엠,무브먼트",12세이상관람가,드라마,김미영,"박종환,이연,강경헌,박현숙,정수빈,장준휘,강길우,최희진,이태경,구자은,류제승,이중현,변진수,윤가현,천신남,백종록,최재혁,배혜원,김신혜,김대한"
마에스트로 번스타인,2023-12-06,미국,미국,,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,드라마,브래들리 쿠퍼,"캐리 멀리건,브래들리 쿠퍼"
관능 육체 부녀회장의 동정교육,2024-01-03,한국,한국,주식회사 피에스앤제이,주식회사 피에스앤제이,청소년관람불가,,,
냉정과 열정사이,2003-10-10,일본,일본,,"하준사,월트디즈니컴퍼니코리아(주),(주)디스테이션",15세관람가,"멜로/로맨스,드라마",나카에 이사무,"다케노우치 유타카,진혜림"
스즈메의 문단속,2023-03-08,일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,"하라 나노카,마츠무라 호쿠토"
우연과 상상,2022-05-04,일본,일본,,"그린나래미디어(주),(주)영화사 안다미로",15세이상관람가,"드라마,멜로/로맨스",하마구치 류스케,"현리,나카지마 아유무,시부카와 키요히코,우라베 후사코,카와이 아오바"
프로메어,2022-10-20,일본,일본,,(주)영화사 그램,15세이상관람가,애니메이션,이마이시 히로유키,"마츠야마 켄이치,사카이 마사토"
붉은 장미의 추억,2023-11-02,한국,한국,(주)프로젝트42,(주)프로젝트42,12세이상관람가,"드라마,미스터리",백재호,"김영민,김태완,남기욱,위다은,김세중,배우경,이현주"
스펜서,2022-03-16,영국,영국,,"(주)영화특별시에스엠씨,그린나래미디어(주)",12세이상관람가,드라마,파블로 라라인,"크리스틴 스튜어트,샐리 호킨스,티모시 스폴,숀 해리스,잭 파딩,잭 닐렌,프레디 스프라이,스텔라 고넷"
초콜렛 고마워,,프랑스,"프랑스,스위스",,해피송,15세관람가,"범죄,스릴러",클로드 샤브롤,"이자벨 위페르,자크 뒤트롱,안나 무글라리스"
그랜드 호텔,,미국,미국,,,,드라마,에드문드 골딩,"그레타 가르보,존 배리모어"
뿌까의 짜장면파티,2022-07-04,한국,한국,(주)에픽캔,(주)에픽캔,전체관람가,기타,박상용,"유진주,임종웅,이은정,박중언,김기영,임재홍,신지윤,김민아,이지현,김은미,엄상현"
빨간 마후라,,한국,한국,신필름,,12세이상관람가,"액션,전쟁",신상옥,"남궁원,윤인자,신영균,최무룡,최은희,이대엽"
안녕하세요,2026-02-11,일본,일본,,(주)엣나인필름,12세이상관람가,드라마,오즈 야스지로,"사다 케이지,쿠가 요시코,치슈 류"
택시운전사,2017-08-02,한국,한국,더램프스튜디오(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,장해숙,정태석,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,차순배,김대현,서현우,이봉련,홍완표,문광식,류성현,백인권,허정도,손경원,한사명,한이진,송지언,배준수"
너는 내 아들,2023-06-28,미국,미국,,"주식회사 블루필름웍스,(주)버킷스튜디오",12세이상관람가,드라마,,
키리에의 노래: 디렉터스 컷,2023-11-24,일본,일본,,이화배컴퍼니(주),15세이상관람가,드라마,이와이 슌지,
벨리시마,,이탈리아,이탈리아,,,,기타,,안나 마냐니
샤인 리마스터링,1997-01-25,호주,호주,오스트렐리안필름파이낸스코퍼레이션,"(주)비싸이드 픽쳐스,필립 스튜디오,(주)라이크콘텐츠,(주)팝엔터테인먼트,(주)하명중 영화제작소","15세이상관람가,중학생이상관람가",드라마,스콧 힉스,"제프리 러쉬,아민 뮬러 스탈,노아 테일러,린 레드그레이브"
강변의 무코리타,2023-08-23,일본,일본,,(주)디스테이션,12세이상관람가,드라마,오기가미 나오코,"마츠야마 켄이치,무로 츠요시,미츠시마 히카리,에구치 노리코,에모토 타스쿠"
나의 피투성이 연인,2023-11-15,한국,한국,"컴플렉스필름,㈜인디스토리","(주)디오시네마,㈜인디스토리",12세이상관람가,"드라마,멜로/로맨스",유지영,"이준호,한해인,이한주,오만석,강신철,전아희,김현진,박가영,박미현,최희진,김판겸,이연진,유은진,장종호,송은지,이세령,이상환,고유준,박이수,변운섭,김수청,권민령,형슬우,김홍국"
룩앳미 터치미 키스미,2023-12-06,한국,"한국,말레이시아,인도네시아",필름라인,시네마 뉴원,15세이상관람가,"멜로/로맨스,코미디","호 유항,제나르 마에사 아유,김태식","홍완표,이태경,조선묵,채민서,이진주,박종근,임장환,이슬기,권민경,이도윤"
악의 꽃,,프랑스,프랑스,,해피송,,"드라마,스릴러",클로드 샤브롤,"브누와 마지멜,나탈리 베이"
언어의 정원,2013-08-14,일본,일본,,"(주)미디어캐슬,(주)팝엔터테인먼트",12세이상관람가,애니메이션,신카이 마코토,"이리노 미유,하나자와 카나,히라노 후미"
밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,미국,"미국,캐나다",,스튜디오 초이스 주식회사,15세이상관람가,드라마,제이 로치,"샤를리즈 테론,니콜 키드먼,마고 로비"
만분의 일초,2023-11-15,한국,한국,한국영화아카데미,(주)더쿱디스트리뷰션,12세이상관람가,"액션,드라마,스릴러",김성환,"주종혁,문진성,장준휘,김용석,최민철,이주연,박지아,조유신,전진기,오자훈,최웅희,홍택근,최선중"
여름날 우리,2021-08-25,중국,중국,,"(주)바이포엠스튜디오,찬란,메가박스중앙(주)",12세이상관람가,"코미디,멜로/로맨스",한톈,"허광한,장약남"
퀸 크리스티나,,,,,,,,,
만추,2011-02-17,한국,"한국,미국,홍콩","빅뱅컨텐츠(주),(주)에스씨에스엔터테인먼트","(주)에이썸엔터테인먼트,씨제이엔터테인먼트",15세이상관람가,멜로/로맨스,김태용,"현빈,탕웨이,김서라"
엔니오: 더 마에스트로,2023-07-05,이탈리아,이탈리아,,"(주)영화사 진진,(주)씨네필운",12세이상관람가,다큐멘터리,쥬세페 토르나토레,"엔니오 모리꼬네,클린트 이스트우드,쿠엔틴 타란티노,존 윌리엄스,한스 짐머,왕가위,브루스 스프링스틴,퀸시 존스"
웨스턴 프론트: 서부전선,2023-12-21,캐나다,캐나다,,주식회사 풍경소리,15세이상관람가,"전쟁,액션",,
안나 크리스티,,미국,미국,메트로-골드윈-마이어,,,"드라마,멜로/로맨스",클라렌스 브라운,"그레타 가르보,찰스 빅포드"
폭로,2023-09-20,한국,한국,(주)로그라인스튜디오,(주)메리크리스마스,12세이상관람가,"범죄,스릴러",홍용호,"강민혁,유다인,공상아,이소윤,임승범,주보영,정새별,강길우,유이현,곽자형,고정일,김태훈,문지홍,김소숙,조광희,박종현,김지수,조셉,최우정,진혜린"
견왕: 이누오,2022-12-08,일본,일본,,트윈플러스파트너스(주),12세이상관람가,애니메이션,유아사 마사아키,"모리야마 미라이,아부짱"
썬 오브 람세스,2024-02-07,프랑스,프랑스,,그린나래미디어(주),15세이상관람가,"스릴러,드라마,범죄",클레망 코지토르,
"여름을 향한 터널, 이별의 출구",2023-09-14,일본,일본,,(주)미디어캐슬,12세이상관람가,애니메이션,타구치 토모히사,"코미야 아리사,코야마 리키야"
우리의 20세기,2017-09-27,미국,미국,,그린나래미디어(주),15세이상관람가,드라마,마이크 밀스,"아네트 베닝,그레타 거윅,엘르 패닝,루카스 제이드 주만,빌리 크루덥"
거울 속 외딴 성,2023-04-12,일본,일본,,워터홀컴퍼니(주),12세이상관람가,"애니메이션,미스터리,판타지",하라 케이이치,"아시다 마나,키타무라 타쿠미,타카야마 미나미,미야자키 아오이"
이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,독일,독일,,TCO(주)더콘텐츠온,전체관람가,"애니메이션,판타지,어드벤처",,
별을 쫓는 아이,2011-08-25,일본,일본,,"(주)미디어캐슬,(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,
슬픔의 삼각형,2023-05-17,미국,미국,,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",15세이상관람가,"코미디,드라마",루벤 외스틀룬드,"우디 해럴슨,해리스 딕킨슨"
나 혼자만 레벨업 : 프리뷰,2023-12-13,일본,일본,,(주)애니플러스,청소년관람불가,애니메이션,,
라스트 서바이버,2023-12-14,미국,미국,,(주)콘텐트마인,15세이상관람가,"SF,액션",드류 밀레,"알리시아 실버스톤,드류 밴 에커,스티븐 모이어"
상록수,1961-09-20,한국,한국,신필름,,기타,드라마,신상옥,"허장강,최은희"
두 사람을 위한 식탁,2023-10-25,한국,한국,킴프로덕션,필름다빈,12세이상관람가,다큐멘터리,김보람,"박채영,박상옥"
마음의 고향,,,,,,,드라마,윤용규,"변기종,최은희"
매트,2023-11-30,한국,한국,액츠픽처스,시네마 뉴원,12세이상관람가,"미스터리,스릴러,드라마",최지온,"하지인,유진성,최기은,손주열,최지온,송성사,최바울,김주희,송주영,손반석,황아리,송예은,정승주,송예찬,최시언,임조이,진하민,김주혜,윤주리,이라엘,신영인,하성원,조나라,한지윤,방혜원,유병구,한명철,오주라,이준행"
베로니카의 이중생활,1991-11-09,프랑스,프랑스,,"(주)영화사 안다미로,㈜영화사 백두대간",연소자관람불가,"드라마,멜로/로맨스,판타지",크지슈토프 키에슬로프스키,"이렌느 야곱,필립 볼테르,상드린 뒤마"
성춘향,1961-01-28,한국,한국,신필름,,,"드라마,멜로/로맨스,사극",신상옥,"최은희,김진규"
안개속에 가버린 사랑,,한국,한국,동남아영화공사,(주)프리즘웍스,15세이상관람가,드라마,변장호,"김지미,오영일"
하늘의 푸르름을 아는 사람이여,2022-03-16,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"애니메이션,판타지,멜로/로맨스",나가이 타츠유키,요시자와 료
거유녀의 사생활,2024-01-04,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
꿈,1955-01-16,한국,한국,,,,드라마,신상옥,"최은희,황남"
끝까지 세운다 오늘 꼭 싸는거야,2024-01-04,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
내 아내 맛이 어때,2024-01-04,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",히무 롯쿠,
딱딱하게 세워주는 여자 선생님,2024-01-04,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
로맨스그레이,,한국,한국,신필름,,,"드라마,멜로/로맨스",신상옥,"김승호,최은희"
료마! 테니스의 왕자: 디사이드,2023-09-16,일본,일본,,(주)미디어캐슬,12세이상관람가,애니메이션,코지나 히로시,미나가와 준코
매일 새아들을 세우고 있어요,2024-01-04,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
변태 성욕에 마구 흥분한 그녀,2024-01-05,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
변태적인 남자에게 길들여지는 여자들,2024-01-05,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
사채소년,2023-11-22,한국,한국,(주)26컴퍼니,영화사빅,15세이상관람가,"액션,드라마",황동석,"유선호,강미나,유인수,이일준,이찬형,신수현,서혜원,윤병희,김기두,김종호,최윤봉,류제승,류경현,신정윤,지웅배,이상연,김태성,천동빈,박준영,오승희,유수정,심소영,정태수,박창훈,박현세,문수영,김동희,양동선,황재필,민채연,연오,유미호,김도담,권민서,정혜진,조영지,오협,이원욱,이주미,정현구,고성,김빈,이시형,차성만,김진서,서홍민,양성준"
수컷냄새만 나면 발딱 서버려요,2024-01-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
시간 멈춰 단백질 뽑아대는 아오이,2024-01-04,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
엄마 친구들 4,2024-01-06,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,기타,,
옆집 영계냄새에 발딱 선 내 아내,2024-01-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
인생 뭐 있어 넣자 넣자,2024-01-05,한국,한국,솔앤드 주식회사,솔앤드 주식회사,청소년관람불가,성인물(에로),김도현,
장모의 혀놀림에 정신 못차리는 사위,2024-01-03,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),,
젖큰자매의맛-무삭제,2024-01-02,한국,한국,,스마일컨텐츠,청소년관람불가,성인물(에로),김레이,
준다면 먹고 보자,2024-01-05,한국,한국,솔앤드 주식회사,솔앤드 주식회사,청소년관람불가,성인물(에로),김도현,
처형:우리 제부 해보고 싶은거 다 해,2024-01-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",나가에,
출장 간호사의 특별한서비스,2024-01-03,한국,한국,주식회사 루믹스미디어,주식회사 루믹스미디어,청소년관람불가,기타,,
컨트리 카바레,2023-11-30,프랑스,프랑스,,(주)스튜디오디에이치엘,12세이상관람가,코미디,장 피에르 아메리스,"사브리나 와자니,알반 이바노프,가이 마르컨드"
허니문 먹고 하고 싸고,2024-01-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),멜로/로맨스,드라마",디렉터 O,
