날짜,영화명,좌석수,좌석판매율,좌석점유율
2025-03-29,미키 17,241902,11.1%,10.3%
2025-03-29,플로우,99609,15.7%,4.2%
2025-03-29,백설공주,102767,12.8%,4.3%
2025-03-29,콘클라베,72748,11.8%,3.1%
2025-03-29,고독한 미식가 더 무비,62418,7.6%,2.6%
2025-03-29,위플래쉬,19481,10.4%,0.8%
2025-03-29,악령: 깨어난 시체,18313,7.1%,0.7%
2025-03-29,케이온,21393,5.1%,0.9%
2025-03-29,컴패니언,5629,10.0%,0.2%
2025-03-29,화이트 버드,6013,11.9%,0.2%
2025-03-29,언젠틀 오퍼레이션,7683,5.5%,0.3%
2025-03-29,더 폴: 디렉터스 컷,2711,30.0%,0.1%
2025-03-29,은혼 금혼편 온 씨어터,8211,7.0%,0.3%
2025-03-29,브루탈리스트,2023,22.2%,0.0%
2025-03-29,에밀리아 페레즈,3517,4.6%,0.1%
2025-03-29,블랙 백,3413,7.3%,0.1%
2025-03-29,200% 울프: 최강 푸들이 될 거야!,10582,7.0%,0.4%
2025-03-29,존 윅,5877,6.7%,0.2%
2025-03-29,양들의 침묵,2148,9.6%,0.0%
2025-03-29,아노라,1328,13.5%,0.0%
2025-03-29,서브스턴스,1221,14.4%,0.0%
2025-03-29,프라도 위대한 미술관,1661,6.7%,0.0%
2025-03-29,컴플리트 언노운,452,12.8%,0.0%
2025-03-29,극장판 짱구는 못말려: 우리들의 공룡일기,1201,18.1%,0.0%
2025-03-29,첫 번째 키스,465,10.1%,0.0%
2025-03-29,패딩턴: 페루에 가다!,1230,6.9%,0.0%
2025-03-29,룩백,201,7.4%,0.0%
2025-03-29,캡틴 아메리카: 브레이브 뉴 월드,256,12.1%,0.0%
2025-03-29,릴리 슈슈의 모든 것,52,48.0%,0.0%
2025-03-29,노보케인,36,2.7%,0.0%
2025-03-29,와일드 투어,381,2.8%,0.0%
2025-03-29,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,40,10.0%,0.0%
2025-03-29,은혼 일국경성편 온 씨어터,144,28.4%,0.0%
2025-03-29,극장판 하이큐!! 쓰레기장의 결전,144,20.1%,0.0%
2025-03-29,성 베드로 대성당과 로마의 교황청 대성당들,42,9.5%,0.0%
2025-03-29,이처럼 사소한 것들,388,5.6%,0.0%
2025-03-29,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,119,3.3%,0.0%
2025-03-29,카라바조. 영혼과 피,30,33.3%,0.0%
2025-03-29,괴물,252,9.1%,0.0%
2025-03-29,멀홀랜드 드라이브,94,27.6%,0.0%
2025-03-29,메모리,72,2.7%,0.0%
2025-03-29,에브리씽 에브리웨어 올 앳 원스,266,6.0%,0.0%
2025-03-29,도쿄의 밤하늘은 항상 가장 짙은 블루,59,3.3%,0.0%
2025-03-29,멜랑콜리아,126,1.5%,0.0%
2025-03-29,공각기동대,58,1.7%,0.0%
2025-03-29,총을 든 스님,90,3.3%,0.0%
2025-03-30,극장판 진격의 거인 완결편 더 라스트 어택,132802,24.3%,5.9%
2025-03-30,미키 17,226047,9.4%,10.1%
2025-03-30,플로우,97665,15.7%,4.4%
2025-03-30,백설공주,98020,13.0%,4.4%
2025-03-30,콘클라베,67338,10.1%,3.0%
2025-03-30,고독한 미식가 더 무비,60671,6.8%,2.7%
2025-03-30,위플래쉬,19381,9.4%,0.8%
2025-03-30,악령: 깨어난 시체,14451,6.7%,0.6%
2025-03-30,케이온,22893,4.2%,1.0%
2025-03-30,컴패니언,4269,6.8%,0.1%
2025-03-30,화이트 버드,5340,8.4%,0.2%
2025-03-30,언젠틀 오퍼레이션,7667,4.4%,0.3%
2025-03-30,더 폴: 디렉터스 컷,1947,48.5%,0.0%
2025-03-30,은혼 금혼편 온 씨어터,6999,5.0%,0.3%
2025-03-30,브루탈리스트,2115,19.7%,0.0%
2025-03-30,에밀리아 페레즈,3547,3.1%,0.1%
2025-03-30,블랙 백,3357,5.5%,0.1%
2025-03-30,200% 울프: 최강 푸들이 될 거야!,9491,7.8%,0.4%
2025-03-30,존 윅,5204,4.3%,0.2%
2025-03-30,양들의 침묵,2047,9.4%,0.0%
2025-03-30,아노라,1160,10.3%,0.0%
2025-03-30,서브스턴스,1854,6.5%,0.0%
2025-03-30,프라도 위대한 미술관,764,18.4%,0.0%
2025-03-30,컴플리트 언노운,653,20.8%,0.0%
2025-03-30,극장판 짱구는 못말려: 우리들의 공룡일기,1074,19.3%,0.0%
2025-03-30,첫 번째 키스,504,10.3%,0.0%
2025-03-30,패딩턴: 페루에 가다!,1314,8.1%,0.0%
2025-03-30,룩백,130,6.1%,0.0%
2025-03-30,캡틴 아메리카: 브레이브 뉴 월드,182,13.7%,0.0%
2025-03-30,장미의 행렬,92,66.3%,0.0%
2025-03-30,릴리 슈슈의 모든 것,50,68.0%,0.0%
2025-03-30,노보케인,47,4.2%,0.0%
2025-03-30,엘리: 몬스터 패밀리,305,41.3%,0.0%
2025-03-30,와일드 투어,545,2.5%,0.0%
2025-03-30,은혼 일국경성편 온 씨어터,144,14.5%,0.0%
2025-03-30,이처럼 사소한 것들,36,16.6%,0.0%
2025-03-30,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,163,3.0%,0.0%
2025-03-30,카라바조. 영혼과 피,30,20.0%,0.0%
2025-03-30,히어,72,63.8%,0.0%
2025-03-30,장난을 잘 치는 타카기 양,88,2.2%,0.0%
2025-03-30,괴물,126,7.9%,0.0%
2025-03-30,멀홀랜드 드라이브,94,1.0%,0.0%
2025-03-30,에브리씽 에브리웨어 올 앳 원스,123,5.6%,0.0%
2025-03-30,사랑은 사라지지 않는다,30,10.0%,0.0%
2025-03-30,아이 엠 러브,152,10.5%,0.0%
2025-03-30,너의 이름은.,123,8.9%,0.0%
2025-03-30,멜랑콜리아,54,5.5%,0.0%
2025-03-30,"고흐, 영원의 문에서",138,3.6%,0.0%
2025-03-31,극장판 진격의 거인 완결편 더 라스트 어택,107717,10.1%,5.8%
2025-03-31,미키 17,199112,3.7%,10.8%
2025-03-31,플로우,66678,3.9%,3.6%
2025-03-31,콘클라베,64469,5.2%,3.5%
2025-03-31,라스트 마일,38444,5.1%,2.0%
2025-03-31,백설공주,48537,3.3%,2.6%
2025-03-31,고독한 미식가 더 무비,55945,2.8%,3.0%
2025-03-31,스윙걸즈,14838,5.1%,0.8%
2025-03-31,위플래쉬,17317,2.8%,0.9%
2025-03-31,케이온,13085,2.0%,0.7%
2025-03-31,패왕별희 디 오리지널,5815,6.4%,0.3%
2025-03-31,열화청춘 리마스터링,6528,5.6%,0.3%
2025-03-31,악령: 깨어난 시체,15866,5.5%,0.8%
2025-03-31,은혼 금혼편 온 씨어터,7168,2.5%,0.3%
2025-03-31,그랜드 투어,4134,5.2%,0.2%
2025-03-31,화이트 버드,6656,3.3%,0.3%
2025-03-31,대삼원 리마스터링,6122,3.8%,0.3%
2025-03-31,브루탈리스트,1878,8.3%,0.1%
2025-03-31,"끝, 새로운 시작",6915,4.9%,0.3%
2025-03-31,크래쉬: 디렉터스컷,2837,6.6%,0.1%
2025-03-31,컴패니언,5825,4.2%,0.3%
2025-03-31,더 폴: 디렉터스 컷,1409,5.3%,0.0%
2025-03-31,라라랜드,6988,1.7%,0.3%
2025-03-31,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,4861,1.2%,0.2%
2025-03-31,언젠틀 오퍼레이션,7401,3.0%,0.4%
2025-03-31,컴플리트 언노운,594,43.0%,0.0%
2025-03-31,아노라,1357,7.8%,0.0%
2025-03-31,이처럼 사소한 것들,36,22.2%,0.0%
2025-03-31,프라도 위대한 미술관,1458,3.7%,0.0%
2025-03-31,에밀리아 페레즈,3365,2.3%,0.1%
2025-03-31,존 윅,5284,3.3%,0.2%
2025-03-31,서브스턴스,863,9.6%,0.0%
2025-03-31,모감보,780,10.5%,0.0%
2025-03-31,블랙 백,3076,3.0%,0.1%
2025-03-31,사랑할 때와 죽을 때,1200,17.1%,0.0%
2025-03-31,극장판 짱구는 못말려: 우리들의 공룡일기,130,4.6%,0.0%
2025-03-31,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,113,3.5%,0.0%
2025-03-31,릴리 슈슈의 모든 것,50,40.0%,0.0%
2025-03-31,패딩턴: 페루에 가다!,872,1.4%,0.0%
2025-03-31,양들의 침묵,2384,3.0%,0.1%
2025-03-31,지고이네르바이젠,58,25.8%,0.0%
2025-03-31,캡틴 아메리카: 브레이브 뉴 월드,122,8.1%,0.0%
2025-03-31,첫 번째 키스,993,2.9%,0.0%
2025-03-31,거북이는 의외로 빨리 헤엄친다,42,80.9%,0.0%
2025-03-31,성 베드로 대성당과 로마의 교황청 대성당들,856,1.9%,0.0%
2025-03-31,빅 피쉬,50,32.0%,0.0%
2025-03-31,히어,30,93.3%,0.0%
2025-03-31,와일드 투어,588,0.8%,0.0%
2025-03-31,메모리,581,2.9%,0.0%
2025-03-31,멀홀랜드 드라이브,94,5.3%,0.0%
2025-03-31,내가 마지막 본 파리,340,9.7%,0.0%
2025-03-31,카라바조. 영혼과 피,163,11.0%,0.0%
2025-03-31,아머: 현금수송차,125,9.6%,0.0%
2025-03-31,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,182,3.8%,0.0%
2025-03-31,벌집의 정령,40,27.5%,0.0%
2025-03-31,멜랑콜리아,54,7.4%,0.0%
2025-03-31,사랑은 사라지지 않는다,335,1.1%,0.0%
2025-03-31,하이큐!! 콘셉트의 싸움,144,3.4%,0.0%
2025-03-31,움베르토 에코. 세계의 도서관,72,5.5%,0.0%
2025-03-31,하이퍼 프로젝션 연극 하이큐!! 최강의 팀,144,2.0%,0.0%
2025-03-31,아키라,58,3.4%,0.0%
2025-03-31,장난을 잘 치는 타카기 양,155,0.6%,0.0%
2025-04-01,극장판 진격의 거인 완결편 더 라스트 어택,103043,9.6%,5.8%
2025-04-01,미키 17,175963,3.0%,9.9%
2025-04-01,플로우,61999,3.2%,3.5%
2025-04-01,헤레틱,1799,10.6%,0.1%
2025-04-01,콘클라베,58659,4.5%,3.3%
2025-04-01,라스트 마일,39014,4.7%,2.2%
2025-04-01,백설공주,47818,3.3%,2.7%
2025-04-01,브리짓 존스의 일기: 뉴 챕터,11161,99.8%,0.6%
2025-04-01,고독한 미식가 더 무비,53793,2.5%,3.0%
2025-04-01,스윙걸즈,15233,6.7%,0.8%
2025-04-01,위플래쉬,15030,2.9%,0.8%
2025-04-01,케이온,15311,1.8%,0.8%
2025-04-01,패왕별희 디 오리지널,5930,7.4%,0.3%
2025-04-01,베러맨,532,100.0%,0.0%
2025-04-01,열화청춘 리마스터링,6838,4.3%,0.3%
2025-04-01,악령: 깨어난 시체,8589,2.5%,0.4%
2025-04-01,은혼 금혼편 온 씨어터,6708,2.2%,0.3%
2025-04-01,그랜드 투어,3859,4.4%,0.2%
2025-04-01,화이트 버드,7248,8.5%,0.4%
2025-04-01,대삼원 리마스터링,5483,3.7%,0.3%
2025-04-01,브루탈리스트,1909,10.0%,0.1%
2025-04-01,"끝, 새로운 시작",6787,6.8%,0.3%
2025-04-01,크래쉬: 디렉터스컷,3131,4.5%,0.1%
2025-04-01,컴패니언,5170,4.7%,0.2%
2025-04-01,더 폴: 디렉터스 컷,1368,10.0%,0.0%
2025-04-01,라라랜드,6836,2.2%,0.3%
2025-04-01,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,5855,1.9%,0.3%
2025-04-01,패터슨,1441,31.4%,0.0%
2025-04-01,200% 울프: 최강 푸들이 될 거야!,260,110.7%,0.0%
2025-04-01,언젠틀 오퍼레이션,5643,1.8%,0.3%
2025-04-01,컴플리트 언노운,420,15.7%,0.0%
2025-04-01,금지된 장난,1500,12.4%,0.0%
2025-04-01,아노라,1273,6.7%,0.0%
2025-04-01,농부의 딸,1430,10.9%,0.0%
2025-04-01,이처럼 사소한 것들,643,42.4%,0.0%
2025-04-01,프라도 위대한 미술관,542,9.2%,0.0%
2025-04-01,에밀리아 페레즈,2814,3.1%,0.1%
2025-04-01,존 윅,4951,2.6%,0.2%
2025-04-01,서브스턴스,843,8.7%,0.0%
2025-04-01,모감보,780,7.3%,0.0%
2025-04-01,블랙 백,2112,5.4%,0.1%
2025-04-01,릴리 슈슈의 모든 것,50,28.0%,0.0%
2025-04-01,패딩턴: 페루에 가다!,526,1.1%,0.0%
2025-04-01,양들의 침묵,2204,3.5%,0.1%
2025-04-01,지고이네르바이젠,58,24.1%,0.0%
2025-04-01,캡틴 아메리카: 브레이브 뉴 월드,187,2.1%,0.0%
2025-04-01,첫 번째 키스,357,5.0%,0.0%
2025-04-01,거북이는 의외로 빨리 헤엄친다,40,55.0%,0.0%
2025-04-01,로켓 파일럿,340,10.0%,0.0%
2025-04-01,성 베드로 대성당과 로마의 교황청 대성당들,856,1.4%,0.0%
2025-04-01,극장판 하이큐!! 쓰레기장의 결전,144,11.8%,0.0%
2025-04-01,쾌걸 조로,759,5.0%,0.0%
2025-04-01,히어,72,5.5%,0.0%
2025-04-01,어바웃 타임,92,1.0%,0.0%
2025-04-01,와일드 투어,316,5.3%,0.0%
2025-04-01,탑건: 매버릭,92,3.2%,0.0%
2025-04-01,메모리,159,7.5%,0.0%
2025-04-01,마탄의 사수,523,4.3%,0.0%
2025-04-01,멀홀랜드 드라이브,166,21.6%,0.0%
2025-04-01,백조의 호수,537,2.4%,0.0%
2025-04-01,존 오브 인터레스트,41,4.8%,0.0%
2025-04-01,태풍 클럽,58,18.9%,0.0%
2025-04-01,저주받은 아이들,212,1.8%,0.0%
2025-04-01,머나먼 서부,597,4.1%,0.0%
2025-04-01,카라바조. 영혼과 피,30,10.0%,0.0%
2025-04-01,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,406,1.9%,0.0%
2025-04-01,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,113,16.8%,0.0%
2025-04-01,벌집의 정령,59,1.6%,0.0%
2025-04-01,맨 인 그레이,212,2.3%,0.0%
2025-04-01,더 콕핏,40,7.5%,0.0%
2025-04-01,디판,52,9.6%,0.0%
2025-04-01,룩백,89,5.6%,0.0%
2025-04-01,멜랑콜리아,54,1.8%,0.0%
2025-04-01,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,40,5.0%,0.0%
2025-04-01,하이퍼 프로젝션 연극 하이큐!! 쓰레기장의 결전,144,2.7%,0.0%
2025-04-01,바람과 함께 사라지다,59,3.3%,0.0%
2025-04-01,장난을 잘 치는 타카기 양,155,0.6%,0.0%
2025-04-02,극장판 진격의 거인 완결편 더 라스트 어택,88080,10.7%,4.5%
2025-04-02,미키 17,108421,3.4%,5.5%
2025-04-02,플로우,44612,4.1%,2.2%
2025-04-02,콘클라베,46361,4.5%,2.3%
2025-04-02,라스트 마일,24940,6.9%,1.2%
2025-04-02,백설공주,9898,4.3%,0.5%
2025-04-02,고독한 미식가 더 무비,19703,7.1%,1.0%
2025-04-02,스윙걸즈,10972,7.4%,0.5%
2025-04-02,위플래쉬,5947,3.5%,0.3%
2025-04-02,케이온,4699,3.0%,0.2%
2025-04-02,패왕별희 디 오리지널,5046,5.5%,0.2%
2025-04-02,열화청춘 리마스터링,5791,2.4%,0.2%
2025-04-02,악령: 깨어난 시체,2238,2.4%,0.1%
2025-04-02,은혼 금혼편 온 씨어터,3438,2.7%,0.1%
2025-04-02,그랜드 투어,3138,4.9%,0.1%
2025-04-02,화이트 버드,3505,2.0%,0.1%
2025-04-02,대삼원 리마스터링,4929,2.1%,0.2%
2025-04-02,브루탈리스트,1051,7.1%,0.0%
2025-04-02,"끝, 새로운 시작",1313,3.5%,0.0%
2025-04-02,크래쉬: 디렉터스컷,1890,7.8%,0.0%
2025-04-02,컴패니언,1458,3.9%,0.0%
2025-04-02,더 폴: 디렉터스 컷,370,11.0%,0.0%
2025-04-02,라라랜드,3276,2.2%,0.1%
2025-04-02,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,1364,3.5%,0.0%
2025-04-02,언젠틀 오퍼레이션,2765,1.5%,0.1%
2025-04-02,컴플리트 언노운,216,9.7%,0.0%
2025-04-02,아노라,470,7.2%,0.0%
2025-04-02,프라도 위대한 미술관,1408,3.3%,0.0%
2025-04-02,에밀리아 페레즈,894,3.4%,0.0%
2025-04-02,서브스턴스,217,4.6%,0.0%
2025-04-02,모감보,520,9.2%,0.0%
2025-04-02,블랙 백,128,3.9%,0.0%
2025-04-02,릴리 슈슈의 모든 것,52,25.0%,0.0%
2025-04-02,캡틴 아메리카: 브레이브 뉴 월드,203,48.2%,0.0%
2025-04-02,첫 번째 키스,504,1.5%,0.0%
2025-04-02,성 베드로 대성당과 로마의 교황청 대성당들,40,15.0%,0.0%
2025-04-02,빅 피쉬,50,10.0%,0.0%
2025-04-02,와일드 투어,30,6.6%,0.0%
2025-04-02,메모리,293,1.7%,0.0%
2025-04-02,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,55,1.8%,0.0%
2025-04-03,극장판 진격의 거인 완결편 더 라스트 어택,92122,12.0%,4.9%
2025-04-03,미키 17,105162,3.1%,5.5%
2025-04-03,플로우,41019,5.4%,2.1%
2025-04-03,헤레틱,62721,5.3%,3.3%
2025-04-03,콘클라베,45139,4.7%,2.4%
2025-04-03,라스트 마일,23478,8.0%,1.2%
2025-04-03,백설공주,8854,4.2%,0.4%
2025-04-03,기동전사 건담 지쿠악스 비기닝,44119,3.3%,2.3%
2025-04-03,고독한 미식가 더 무비,20253,8.8%,1.0%
2025-04-03,스윙걸즈,11226,16.6%,0.5%
2025-04-03,위플래쉬,5614,3.6%,0.2%
2025-04-03,케이온,4689,25.6%,0.2%
2025-04-03,패왕별희 디 오리지널,4914,5.7%,0.2%
2025-04-03,베러맨,1814,90.7%,0.0%
2025-04-03,예언자,7552,4.0%,0.4%
2025-04-03,바빌론,7658,3.3%,0.4%
2025-04-03,열화청춘 리마스터링,5115,2.0%,0.2%
2025-04-03,패션 오브 크라이스트,6526,2.3%,0.3%
2025-04-03,악령: 깨어난 시체,2210,1.6%,0.1%
2025-04-03,은혼 금혼편 온 씨어터,4219,1.8%,0.2%
2025-04-03,그랜드 투어,1259,4.5%,0.0%
2025-04-03,화이트 버드,3820,3.4%,0.2%
2025-04-03,대삼원 리마스터링,4929,1.6%,0.2%
2025-04-03,브루탈리스트,1673,8.9%,0.0%
2025-04-03,"끝, 새로운 시작",1155,3.8%,0.0%
2025-04-03,크래쉬: 디렉터스컷,2300,6.5%,0.1%
2025-04-03,컴패니언,1750,5.9%,0.0%
2025-04-03,올파의 딸들,1596,6.9%,0.0%
2025-04-03,더 폴: 디렉터스 컷,676,48.2%,0.0%
2025-04-03,라라랜드,1360,3.8%,0.0%
2025-04-03,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,1420,14.2%,0.0%
2025-04-03,언젠틀 오퍼레이션,2107,1.3%,0.1%
2025-04-03,컴플리트 언노운,268,8.9%,0.0%
2025-04-03,금지된 장난,1500,9.2%,0.0%
2025-04-03,아노라,388,5.6%,0.0%
2025-04-03,행복의 노란 손수건,2262,2.0%,0.1%
2025-04-03,농부의 딸,1430,8.5%,0.0%
2025-04-03,프라도 위대한 미술관,494,6.4%,0.0%
2025-04-03,에밀리아 페레즈,1347,2.3%,0.0%
2025-04-03,너의 췌장을 먹고 싶어,192,100.0%,0.0%
2025-04-03,사유리,326,100.0%,0.0%
2025-04-03,서브스턴스,182,15.3%,0.0%
2025-04-03,모감보,780,5.6%,0.0%
2025-04-03,블랙 백,143,4.1%,0.0%
2025-04-03,극장판 짱구는 못말려: 우리들의 공룡일기,222,0.9%,0.0%
2025-04-03,릴리 슈슈의 모든 것,52,21.1%,0.0%
2025-04-03,마리우폴에서의 20일,124,56.4%,0.0%
2025-04-03,캡틴 아메리카: 브레이브 뉴 월드,35,8.5%,0.0%
2025-04-03,첫 번째 키스,413,2.9%,0.0%
2025-04-03,거북이는 의외로 빨리 헤엄친다,40,32.5%,0.0%
2025-04-03,오차즈케의 맛,230,18.6%,0.0%
2025-04-03,로켓 파일럿,340,9.7%,0.0%
2025-04-03,성 베드로 대성당과 로마의 교황청 대성당들,108,0.9%,0.0%
2025-04-03,극장판 하이큐!! 쓰레기장의 결전,144,3.4%,0.0%
2025-04-03,침략자,796,2.3%,0.0%
2025-04-03,빅 피쉬,52,13.4%,0.0%
2025-04-03,진홍의 도적,759,5.1%,0.0%
2025-04-03,히어,30,66.6%,0.0%
2025-04-03,어바웃 타임,92,9.7%,0.0%
2025-04-03,와일드 투어,212,0.4%,0.0%
2025-04-03,탑건: 매버릭,92,6.5%,0.0%
2025-04-03,패스트 라이브즈,645,2.0%,0.0%
2025-04-03,아머: 현금수송차,53,15.0%,0.0%
2025-04-03,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,55,1.8%,0.0%
2025-04-03,맨 인 그레이,212,5.1%,0.0%
2025-04-03,잘 지내고 있나요?,212,2.8%,0.0%
2025-04-03,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,40,5.0%,0.0%
2025-04-04,극장판 진격의 거인 완결편 더 라스트 어택,97395,13.4%,4.8%
2025-04-04,미키 17,100419,4.2%,5.0%
2025-04-04,플로우,40442,4.4%,2.0%
2025-04-04,콘클라베,42618,5.5%,2.1%
2025-04-04,라스트 마일,24268,10.7%,1.2%
2025-04-04,백설공주,10870,14.3%,0.5%
2025-04-04,고독한 미식가 더 무비,19254,8.1%,0.9%
2025-04-04,스윙걸즈,9690,9.4%,0.4%
2025-04-04,위플래쉬,6300,7.9%,0.3%
2025-04-04,케이온,5405,8.8%,0.2%
2025-04-04,패왕별희 디 오리지널,5405,7.4%,0.2%
2025-04-04,열화청춘 리마스터링,3841,2.2%,0.1%
2025-04-04,악령: 깨어난 시체,2074,2.7%,0.1%
2025-04-04,은혼 금혼편 온 씨어터,2537,2.4%,0.1%
2025-04-04,그랜드 투어,1998,5.0%,0.0%
2025-04-04,화이트 버드,2349,1.7%,0.1%
2025-04-04,대삼원 리마스터링,3859,1.4%,0.1%
2025-04-04,브루탈리스트,1220,7.7%,0.0%
2025-04-04,"끝, 새로운 시작",1001,2.5%,0.0%
2025-04-04,크래쉬: 디렉터스컷,2047,4.6%,0.1%
2025-04-04,컴패니언,1240,6.1%,0.0%
2025-04-04,더 폴: 디렉터스 컷,757,4.3%,0.0%
2025-04-04,라라랜드,2398,4.1%,0.1%
2025-04-04,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,1276,2.4%,0.0%
2025-04-04,언젠틀 오퍼레이션,2215,1.3%,0.1%
2025-04-04,컴플리트 언노운,306,9.8%,0.0%
2025-04-04,아노라,471,11.4%,0.0%
2025-04-04,이처럼 사소한 것들,871,5.3%,0.0%
2025-04-04,프라도 위대한 미술관,533,7.6%,0.0%
2025-04-04,에밀리아 페레즈,1320,2.5%,0.0%
2025-04-04,서브스턴스,332,10.5%,0.0%
2025-04-04,모감보,780,2.6%,0.0%
2025-04-04,블랙 백,232,6.8%,0.0%
2025-04-04,극장판 짱구는 못말려: 우리들의 공룡일기,69,2.8%,0.0%
2025-04-04,릴리 슈슈의 모든 것,50,32.0%,0.0%
2025-04-04,패딩턴: 페루에 가다!,286,51.0%,0.0%
2025-04-04,지고이네르바이젠,230,15.6%,0.0%
2025-04-04,캡틴 아메리카: 브레이브 뉴 월드,35,11.4%,0.0%
2025-04-04,첫 번째 키스,256,6.6%,0.0%
2025-04-04,거북이는 의외로 빨리 헤엄친다,40,37.5%,0.0%
2025-04-04,성 베드로 대성당과 로마의 교황청 대성당들,856,0.9%,0.0%
2025-04-04,빅 피쉬,52,13.4%,0.0%
2025-04-04,와일드 투어,452,1.9%,0.0%
2025-04-04,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,55,1.8%,0.0%
2025-04-04,벌집의 정령,40,15.0%,0.0%
2025-04-05,극장판 진격의 거인 완결편 더 라스트 어택,121473,21.5%,5.2%
2025-04-05,미키 17,96827,9.2%,4.2%
2025-04-05,플로우,74649,13.8%,3.2%
2025-04-05,콘클라베,42377,13.9%,1.8%
2025-04-05,라스트 마일,25303,16.2%,1.0%
2025-04-05,백설공주,43220,10.3%,1.8%
2025-04-05,고독한 미식가 더 무비,17112,9.5%,0.7%
2025-04-05,스윙걸즈,9819,12.9%,0.4%
2025-04-05,위플래쉬,7542,10.1%,0.3%
2025-04-05,케이온,5618,7.7%,0.2%
2025-04-05,패왕별희 디 오리지널,4164,8.2%,0.1%
2025-04-05,열화청춘 리마스터링,4821,9.3%,0.2%
2025-04-05,악령: 깨어난 시체,2011,2.7%,0.0%
2025-04-05,은혼 금혼편 온 씨어터,4301,10.9%,0.1%
2025-04-05,그랜드 투어,2910,11.7%,0.1%
2025-04-05,화이트 버드,3326,2.4%,0.1%
2025-04-05,대삼원 리마스터링,4715,3.4%,0.2%
2025-04-05,브루탈리스트,910,24.2%,0.0%
2025-04-05,"끝, 새로운 시작",1421,7.1%,0.0%
2025-04-05,크래쉬: 디렉터스컷,2394,6.5%,0.1%
2025-04-05,컴패니언,1446,6.9%,0.0%
2025-04-05,더 폴: 디렉터스 컷,1706,6.3%,0.0%
2025-04-05,라라랜드,2631,3.6%,0.1%
2025-04-05,이매진 드래곤스: 라이브 프롬 더 할리우드 볼,1276,6.1%,0.0%
2025-04-05,언젠틀 오퍼레이션,1684,2.3%,0.0%
2025-04-05,컴플리트 언노운,372,22.0%,0.0%
2025-04-05,아노라,716,11.7%,0.0%
2025-04-05,프라도 위대한 미술관,1476,5.5%,0.0%
2025-04-05,에밀리아 페레즈,1501,4.6%,0.0%
2025-04-05,서브스턴스,549,11.2%,0.0%
2025-04-05,블랙 백,117,2.5%,0.0%
2025-04-05,극장판 짱구는 못말려: 우리들의 공룡일기,772,9.8%,0.0%
2025-04-05,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,188,97.8%,0.0%
2025-04-05,릴리 슈슈의 모든 것,52,53.8%,0.0%
2025-04-05,지고이네르바이젠,58,15.5%,0.0%
2025-04-05,캡틴 아메리카: 브레이브 뉴 월드,35,8.5%,0.0%
2025-04-05,첫 번째 키스,244,13.5%,0.0%
2025-04-05,거북이는 의외로 빨리 헤엄친다,42,26.1%,0.0%
2025-04-05,빅 피쉬,50,12.0%,0.0%
2025-04-05,와일드 투어,40,15.0%,0.0%
2025-04-05,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,55,1.8%,0.0%
2025-04-06,극장판 진격의 거인 완결편 더 라스트 어택,117511,18.3%,5.4%
2025-04-06,미키 17,92633,6.4%,4.2%
2025-04-06,플로우,72830,10.7%,3.3%
2025-04-06,헤레틱,62406,7.4%,2.8%
2025-04-06,콘클라베,40533,10.4%,1.8%
2025-04-06,라스트 마일,22718,9.8%,1.0%
2025-04-06,백설공주,41046,8.7%,1.8%
2025-04-06,고독한 미식가 더 무비,15399,7.5%,0.7%
2025-04-06,스윙걸즈,8819,12.1%,0.4%
2025-04-06,위플래쉬,6495,8.2%,0.3%
2025-04-06,케이온,4307,7.7%,0.1%
2025-04-06,패왕별희 디 오리지널,4000,11.1%,0.1%
2025-04-06,베러맨,952,8.5%,0.0%
2025-04-06,열화청춘 리마스터링,4733,2.8%,0.2%
2025-04-06,악령: 깨어난 시체,1354,2.9%,0.0%
2025-04-06,은혼 금혼편 온 씨어터,3855,5.5%,0.1%
2025-04-06,그랜드 투어,2062,9.0%,0.0%
2025-04-06,화이트 버드,2295,2.4%,0.1%
2025-04-06,대삼원 리마스터링,5392,6.1%,0.2%
2025-04-06,브루탈리스트,1204,18.7%,0.0%
