검수(포함Y/제외N),유형수동태그,movieCd,제목,영문명,제작연도,개봉일,재개봉일,국적,유형,장르,등급,러닝타임,감독,미개봉여부,편입사유,요약정보
,,20252560,천국 가는 길,A Trip to Heaven,2020,,,베트남,단편,드라마,,15분 0초,,Y,키워드:천국,단편 | 일반영화 | 드라마 | 15분 0초 | 베트남
,,20240198,천국 보내주는 여사원,,2023,,,일본,장편,성인물(에로),청소년관람불가,63분 46초,,Y,키워드:천국,장편 | 일반영화 | 성인물(에로) | 63분 46초 | 청소년관람불가 | 일본
,,20139363,천국과 지옥,High and Low,1963,,,일본,장편,"스릴러, 드라마",,142분 0초,구로사와 아키라,Y,키워드:천국,"장편 | 일반영화 | 스릴러, 드라마 | 142분 0초 | 일본"
,,20124707,천국과 지옥,Between Heaven And Hell,1956,,,미국,장편,"드라마, 전쟁",,94분 0초,리차드 플레이셔,Y,키워드:천국,"장편 | 일반영화 | 드라마, 전쟁 | 94분 0초 | 미국"
,,20264249,천국아이들의 하모니,The Harmony of Children of Heaven,2026,,,한국,장편,드라마,전체관람가,87분 0초,조동관,Y,키워드:천국,장편 | 일반영화 | 드라마 | 87분 0초 | 전체관람가 | 한국
,,20253641,천국에 던지는 질문들,Questions to Heaven,2023,,,중국,단편,드라마,,14분 58초,,Y,키워드:천국,단편 | 일반영화 | 드라마 | 14분 58초 | 중국
,,20138807,천국에서의 5분간,Five Minutes of Heaven,2009,,,영국(1),장편,"범죄, 스릴러",,85분 0초,올리버 히르비겔,Y,키워드:천국,"장편 | 일반영화 | 범죄, 스릴러 | 85분 0초 | 영국, 아일랜드"
,,20190205,천국은 아직 멀어,Heaven is Still Far Away,2016,,,일본,단편,드라마,,38분 0초,하마구치 류스케,Y,키워드:천국,단편 | 일반영화 | 드라마 | 38분 0초 | 일본
,,20253662,천국을 약속해,I Promise You Paradise,2023,,,이집트(2),단편,드라마,,24분 59초,,Y,키워드:천국,"단편 | 일반영화 | 드라마 | 24분 59초 | 이집트, 프랑스, 카타르"
,,20203061,천국의 문,Heaven's Door,2020,,,한국,단편,기타,,30분 0초,김규태,Y,키워드:천국,단편 | 일반영화 | 기타 | 30분 0초 | 한국
,,19808231,천국의 문,Heaven's Gate,1980,,,미국,장편,기타,,216분 0초,마이클 치미노,Y,키워드:천국,장편 | 일반영화 | 기타 | 216분 0초 | 미국
,,20147795,천국의 열쇠,The Keys Of The Kingdom,1944,,,미국,장편,드라마,,137분 0초,존 M. 스탈,Y,키워드:천국,장편 | 예술영화 | 드라마 | 137분 0초 | 미국
,,20255947,천국의 옆 마을,The Village Next To Paradise,2024,,,오스트리아 (3),장편,드라마,,133분 0초,,Y,키워드:천국,"장편 | 일반영화 | 드라마 | 133분 0초 | 오스트리아 , 프랑스, 독일, 기타"
,,20241882,천국의 초원에서,Am Himmel,2018,,,오스트리아,단편,드라마,,29분 51초,,Y,키워드:천국,단편 | 일반영화 | 드라마 | 29분 51초 | 오스트리아
